Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Pinheiros,,,,,,
02:00,2012-08-30,Pinheiros,,,,,,
03:00,2012-08-30,Pinheiros,,,,,,
04:00,2012-08-30,Pinheiros,,,,,,
05:00,2012-08-30,Pinheiros,,,,,,
06:00,2012-08-30,Pinheiros,,,,,,
07:00,2012-08-30,Pinheiros,,,,,,
08:00,2012-08-30,Pinheiros,,,,,,
09:00,2012-08-30,Pinheiros,,,,,,
10:00,2012-08-30,Pinheiros,,,,,,
11:00,2012-08-30,Pinheiros,,,,,,
12:00,2012-08-30,Pinheiros,,,,,,
13:00,2012-08-30,Pinheiros,,,,,,
14:00,2012-08-30,Pinheiros,,,,,,
15:00,2012-08-30,Pinheiros,,,,,,
16:00,2012-08-30,Pinheiros,,,,,,
17:00,2012-08-30,Pinheiros,,,,,,
18:00,2012-08-30,Pinheiros,,,,,,
19:00,2012-08-30,Pinheiros,,,,,,
20:00,2012-08-30,Pinheiros,,,,,,
21:00,2012-08-30,Pinheiros,,,,,,
22:00,2012-08-30,Pinheiros,,,,,,
23:00,2012-08-30,Pinheiros,,,,,,
24:00,2012-08-30,Pinheiros,,,,,,
01:00,2012-08-31,Pinheiros,,,,,,
02:00,2012-08-31,Pinheiros,,,,,,
03:00,2012-08-31,Pinheiros,,,,,,
04:00,2012-08-31,Pinheiros,,,,,,
05:00,2012-08-31,Pinheiros,,,,,,
06:00,2012-08-31,Pinheiros,,,,,,
07:00,2012-08-31,Pinheiros,,,,,,
08:00,2012-08-31,Pinheiros,,,,,,
09:00,2012-08-31,Pinheiros,,,,,,
10:00,2012-08-31,Pinheiros,,,,,,
11:00,2012-08-31,Pinheiros,,,,,,
12:00,2012-08-31,Pinheiros,,,,,,
13:00,2012-08-31,Pinheiros,,,,,,
14:00,2012-08-31,Pinheiros,,,,,,
15:00,2012-08-31,Pinheiros,,,,,,
16:00,2012-08-31,Pinheiros,,,,,,
17:00,2012-08-31,Pinheiros,,,,,,
18:00,2012-08-31,Pinheiros,,,,,,
19:00,2012-08-31,Pinheiros,,,,,,
20:00,2012-08-31,Pinheiros,,,,,,
21:00,2012-08-31,Pinheiros,,,,,,
22:00,2012-08-31,Pinheiros,,,,,,
23:00,2012-08-31,Pinheiros,,,,,,
24:00,2012-08-31,Pinheiros,,,,,,
01:00,2012-09-01,Pinheiros,,,,,,
02:00,2012-09-01,Pinheiros,,,,,,
03:00,2012-09-01,Pinheiros,,,,,,
04:00,2012-09-01,Pinheiros,,,,,,
05:00,2012-09-01,Pinheiros,,,,,,
06:00,2012-09-01,Pinheiros,,,,,,
07:00,2012-09-01,Pinheiros,,,,,,
08:00,2012-09-01,Pinheiros,,,,,,
09:00,2012-09-01,Pinheiros,,,,,,
10:00,2012-09-01,Pinheiros,,,,,,
11:00,2012-09-01,Pinheiros,,,,,,
12:00,2012-09-01,Pinheiros,,,,,,
13:00,2012-09-01,Pinheiros,,,,,,
14:00,2012-09-01,Pinheiros,,,,,,
15:00,2012-09-01,Pinheiros,,,,,,
16:00,2012-09-01,Pinheiros,,,,,,
17:00,2012-09-01,Pinheiros,,,,,,
18:00,2012-09-01,Pinheiros,,,,,,
19:00,2012-09-01,Pinheiros,,,,,,
20:00,2012-09-01,Pinheiros,,,,,,
21:00,2012-09-01,Pinheiros,,,,,,
22:00,2012-09-01,Pinheiros,,,,,,
23:00,2012-09-01,Pinheiros,,,,,,
24:00,2012-09-01,Pinheiros,,,,,,
01:00,2012-09-02,Pinheiros,,,,,,
02:00,2012-09-02,Pinheiros,,,,,,
03:00,2012-09-02,Pinheiros,,,,,,
04:00,2012-09-02,Pinheiros,,,,,,
05:00,2012-09-02,Pinheiros,,,,,,
06:00,2012-09-02,Pinheiros,,,,,,
07:00,2012-09-02,Pinheiros,,,,,,
08:00,2012-09-02,Pinheiros,,,,,,
09:00,2012-09-02,Pinheiros,,,,,,
10:00,2012-09-02,Pinheiros,,,,,,
11:00,2012-09-02,Pinheiros,,,,,,
12:00,2012-09-02,Pinheiros,,,,,,
13:00,2012-09-02,Pinheiros,,,,,,
14:00,2012-09-02,Pinheiros,,,,,,
15:00,2012-09-02,Pinheiros,,,,,,
16:00,2012-09-02,Pinheiros,,,,,,
17:00,2012-09-02,Pinheiros,,,,,,
18:00,2012-09-02,Pinheiros,,,,,,
19:00,2012-09-02,Pinheiros,,,,,,
20:00,2012-09-02,Pinheiros,,,,,,
21:00,2012-09-02,Pinheiros,,,,,,
22:00,2012-09-02,Pinheiros,,,,,,
23:00,2012-09-02,Pinheiros,,,,,,
24:00,2012-09-02,Pinheiros,,,,,,
01:00,2012-09-03,Pinheiros,,,,,,
02:00,2012-09-03,Pinheiros,,,,,,
03:00,2012-09-03,Pinheiros,,,,,,
04:00,2012-09-03,Pinheiros,,,,,,
05:00,2012-09-03,Pinheiros,,,,,,
06:00,2012-09-03,Pinheiros,,,,,,
07:00,2012-09-03,Pinheiros,,,,,,
08:00,2012-09-03,Pinheiros,,,,,,
09:00,2012-09-03,Pinheiros,,,,,,
10:00,2012-09-03,Pinheiros,,,,,,
11:00,2012-09-03,Pinheiros,,,,,,
