Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Itaim Paulista,,,,,,
02:00,2012-08-30,Itaim Paulista,,,,,,
03:00,2012-08-30,Itaim Paulista,,,,,,
04:00,2012-08-30,Itaim Paulista,,,,,,
05:00,2012-08-30,Itaim Paulista,,,,,,
06:00,2012-08-30,Itaim Paulista,,,,,,
07:00,2012-08-30,Itaim Paulista,,,,,,
08:00,2012-08-30,Itaim Paulista,,,,,,
09:00,2012-08-30,Itaim Paulista,,,,,,
10:00,2012-08-30,Itaim Paulista,,,,,,
11:00,2012-08-30,Itaim Paulista,,,,,,
12:00,2012-08-30,Itaim Paulista,,,,,,
13:00,2012-08-30,Itaim Paulista,,,,,,
14:00,2012-08-30,Itaim Paulista,,,,,,
15:00,2012-08-30,Itaim Paulista,,,,,,
16:00,2012-08-30,Itaim Paulista,,,,,,
17:00,2012-08-30,Itaim Paulista,,,,,,
18:00,2012-08-30,Itaim Paulista,,,,,,
19:00,2012-08-30,Itaim Paulista,,,,,,
20:00,2012-08-30,Itaim Paulista,,,,,,
21:00,2012-08-30,Itaim Paulista,,,,,,
22:00,2012-08-30,Itaim Paulista,,,,,,
23:00,2012-08-30,Itaim Paulista,,,,,,
24:00,2012-08-30,Itaim Paulista,,,,,,
01:00,2012-08-31,Itaim Paulista,,,,,,
02:00,2012-08-31,Itaim Paulista,,,,,,
03:00,2012-08-31,Itaim Paulista,,,,,,
04:00,2012-08-31,Itaim Paulista,,,,,,
05:00,2012-08-31,Itaim Paulista,,,,,,
06:00,2012-08-31,Itaim Paulista,,,,,,
07:00,2012-08-31,Itaim Paulista,,,,,,
08:00,2012-08-31,Itaim Paulista,,,,,,
09:00,2012-08-31,Itaim Paulista,,,,,,
10:00,2012-08-31,Itaim Paulista,,,,,,
11:00,2012-08-31,Itaim Paulista,,,,,,
12:00,2012-08-31,Itaim Paulista,,,,,,
13:00,2012-08-31,Itaim Paulista,,,,,,
14:00,2012-08-31,Itaim Paulista,,,,,,
15:00,2012-08-31,Itaim Paulista,,,,,,
16:00,2012-08-31,Itaim Paulista,,,,,,
17:00,2012-08-31,Itaim Paulista,,,,,,
18:00,2012-08-31,Itaim Paulista,,,,,,
19:00,2012-08-31,Itaim Paulista,,,,,,
20:00,2012-08-31,Itaim Paulista,,,,,,
21:00,2012-08-31,Itaim Paulista,,,,,,
22:00,2012-08-31,Itaim Paulista,,,,,,
23:00,2012-08-31,Itaim Paulista,,,,,,
24:00,2012-08-31,Itaim Paulista,,,,,,
01:00,2012-09-01,Itaim Paulista,,,,,,
02:00,2012-09-01,Itaim Paulista,,,,,,
03:00,2012-09-01,Itaim Paulista,,,,,,
04:00,2012-09-01,Itaim Paulista,,,,,,
05:00,2012-09-01,Itaim Paulista,,,,,,
06:00,2012-09-01,Itaim Paulista,,,,,,
07:00,2012-09-01,Itaim Paulista,,,,,,
08:00,2012-09-01,Itaim Paulista,,,,,,
09:00,2012-09-01,Itaim Paulista,,,,,,
10:00,2012-09-01,Itaim Paulista,,,,,,
11:00,2012-09-01,Itaim Paulista,,,,,,
12:00,2012-09-01,Itaim Paulista,,,,,,
13:00,2012-09-01,Itaim Paulista,,,,,,
14:00,2012-09-01,Itaim Paulista,,,,,,
15:00,2012-09-01,Itaim Paulista,,,,,,
16:00,2012-09-01,Itaim Paulista,,,,,,
17:00,2012-09-01,Itaim Paulista,,,,,,
18:00,2012-09-01,Itaim Paulista,,,,,,
19:00,2012-09-01,Itaim Paulista,,,,,,
20:00,2012-09-01,Itaim Paulista,,,,,,
21:00,2012-09-01,Itaim Paulista,,,,,,
22:00,2012-09-01,Itaim Paulista,,,,,,
23:00,2012-09-01,Itaim Paulista,,,,,,
24:00,2012-09-01,Itaim Paulista,,,,,,
01:00,2012-09-02,Itaim Paulista,,,,,,
02:00,2012-09-02,Itaim Paulista,,,,,,
03:00,2012-09-02,Itaim Paulista,,,,,,
04:00,2012-09-02,Itaim Paulista,,,,,,
05:00,2012-09-02,Itaim Paulista,,,,,,
06:00,2012-09-02,Itaim Paulista,,,,,,
07:00,2012-09-02,Itaim Paulista,,,,,,
08:00,2012-09-02,Itaim Paulista,,,,,,
09:00,2012-09-02,Itaim Paulista,,,,,,
10:00,2012-09-02,Itaim Paulista,,,,,,
11:00,2012-09-02,Itaim Paulista,,,,,,
12:00,2012-09-02,Itaim Paulista,,,,,,
13:00,2012-09-02,Itaim Paulista,,,,,,
14:00,2012-09-02,Itaim Paulista,,,,,,
15:00,2012-09-02,Itaim Paulista,,,,,,
16:00,2012-09-02,Itaim Paulista,,,,,,
17:00,2012-09-02,Itaim Paulista,,,,,,
18:00,2012-09-02,Itaim Paulista,,,,,,
19:00,2012-09-02,Itaim Paulista,,,,,,
20:00,2012-09-02,Itaim Paulista,,,,,,
21:00,2012-09-02,Itaim Paulista,,,,,,
22:00,2012-09-02,Itaim Paulista,,,,,,
23:00,2012-09-02,Itaim Paulista,,,,,,
24:00,2012-09-02,Itaim Paulista,,,,,,
01:00,2012-09-03,Itaim Paulista,,,,,,
02:00,2012-09-03,Itaim Paulista,,,,,,
03:00,2012-09-03,Itaim Paulista,,,,,,
04:00,2012-09-03,Itaim Paulista,,,,,,
05:00,2012-09-03,Itaim Paulista,,,,,,
06:00,2012-09-03,Itaim Paulista,,,,,,
07:00,2012-09-03,Itaim Paulista,,,,,,
08:00,2012-09-03,Itaim Paulista,,,,,,
09:00,2012-09-03,Itaim Paulista,,,,,,
10:00,2012-09-03,Itaim Paulista,,,,,,
11:00,2012-09-03,Itaim Paulista,,,,,,
