Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Guarulhos-Pimentas,,,,,,
02:00,2012-08-30,Guarulhos-Pimentas,,,,,,
03:00,2012-08-30,Guarulhos-Pimentas,,,,,,
04:00,2012-08-30,Guarulhos-Pimentas,,,,,,
05:00,2012-08-30,Guarulhos-Pimentas,,,,,,
06:00,2012-08-30,Guarulhos-Pimentas,,,,,,
07:00,2012-08-30,Guarulhos-Pimentas,,,,,,
08:00,2012-08-30,Guarulhos-Pimentas,,,,,,
09:00,2012-08-30,Guarulhos-Pimentas,,,,,,
10:00,2012-08-30,Guarulhos-Pimentas,,,,,,
11:00,2012-08-30,Guarulhos-Pimentas,,,,,,
12:00,2012-08-30,Guarulhos-Pimentas,,,,,,
13:00,2012-08-30,Guarulhos-Pimentas,,,,,,
14:00,2012-08-30,Guarulhos-Pimentas,,,,,,
15:00,2012-08-30,Guarulhos-Pimentas,,,,,,
16:00,2012-08-30,Guarulhos-Pimentas,,,,,,
17:00,2012-08-30,Guarulhos-Pimentas,,,,,,
18:00,2012-08-30,Guarulhos-Pimentas,,,,,,
19:00,2012-08-30,Guarulhos-Pimentas,,,,,,
20:00,2012-08-30,Guarulhos-Pimentas,,,,,,
21:00,2012-08-30,Guarulhos-Pimentas,,,,,,
22:00,2012-08-30,Guarulhos-Pimentas,,,,,,
23:00,2012-08-30,Guarulhos-Pimentas,,,,,,
24:00,2012-08-30,Guarulhos-Pimentas,,,,,,
01:00,2012-08-31,Guarulhos-Pimentas,,,,,,
02:00,2012-08-31,Guarulhos-Pimentas,,,,,,
03:00,2012-08-31,Guarulhos-Pimentas,,,,,,
04:00,2012-08-31,Guarulhos-Pimentas,,,,,,
05:00,2012-08-31,Guarulhos-Pimentas,,,,,,
06:00,2012-08-31,Guarulhos-Pimentas,,,,,,
07:00,2012-08-31,Guarulhos-Pimentas,,,,,,
08:00,2012-08-31,Guarulhos-Pimentas,,,,,,
09:00,2012-08-31,Guarulhos-Pimentas,,,,,,
10:00,2012-08-31,Guarulhos-Pimentas,,,,,,
11:00,2012-08-31,Guarulhos-Pimentas,,,,,,
12:00,2012-08-31,Guarulhos-Pimentas,,,,,,
13:00,2012-08-31,Guarulhos-Pimentas,,,,,,
14:00,2012-08-31,Guarulhos-Pimentas,,,,,,
15:00,2012-08-31,Guarulhos-Pimentas,,,,,,
16:00,2012-08-31,Guarulhos-Pimentas,,,,,,
17:00,2012-08-31,Guarulhos-Pimentas,,,,,,
18:00,2012-08-31,Guarulhos-Pimentas,,,,,,
19:00,2012-08-31,Guarulhos-Pimentas,,,,,,
20:00,2012-08-31,Guarulhos-Pimentas,,,,,,
21:00,2012-08-31,Guarulhos-Pimentas,,,,,,
22:00,2012-08-31,Guarulhos-Pimentas,,,,,,
23:00,2012-08-31,Guarulhos-Pimentas,,,,,,
24:00,2012-08-31,Guarulhos-Pimentas,,,,,,
01:00,2012-09-01,Guarulhos-Pimentas,,,,,,
