Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Campinas-Taquaral,,,,,,
02:00,2012-08-30,Campinas-Taquaral,,,,,,
03:00,2012-08-30,Campinas-Taquaral,,,,,,
04:00,2012-08-30,Campinas-Taquaral,,,,,,
05:00,2012-08-30,Campinas-Taquaral,,,,,,
06:00,2012-08-30,Campinas-Taquaral,,,,,,
07:00,2012-08-30,Campinas-Taquaral,,,,,,
08:00,2012-08-30,Campinas-Taquaral,,,,,,
09:00,2012-08-30,Campinas-Taquaral,,,,,,
10:00,2012-08-30,Campinas-Taquaral,,,,,,
11:00,2012-08-30,Campinas-Taquaral,,,,,,
12:00,2012-08-30,Campinas-Taquaral,,,,,,
13:00,2012-08-30,Campinas-Taquaral,,,,,,
14:00,2012-08-30,Campinas-Taquaral,,,,,,
15:00,2012-08-30,Campinas-Taquaral,,,,,,
16:00,2012-08-30,Campinas-Taquaral,,,,,,
17:00,2012-08-30,Campinas-Taquaral,,,,,,
18:00,2012-08-30,Campinas-Taquaral,,,,,,
19:00,2012-08-30,Campinas-Taquaral,,,,,,
20:00,2012-08-30,Campinas-Taquaral,,,,,,
21:00,2012-08-30,Campinas-Taquaral,,,,,,
22:00,2012-08-30,Campinas-Taquaral,,,,,,
23:00,2012-08-30,Campinas-Taquaral,,,,,,
24:00,2012-08-30,Campinas-Taquaral,,,,,,
01:00,2012-08-31,Campinas-Taquaral,,,,,,
02:00,2012-08-31,Campinas-Taquaral,,,,,,
03:00,2012-08-31,Campinas-Taquaral,,,,,,
04:00,2012-08-31,Campinas-Taquaral,,,,,,
05:00,2012-08-31,Campinas-Taquaral,,,,,,
06:00,2012-08-31,Campinas-Taquaral,,,,,,
07:00,2012-08-31,Campinas-Taquaral,,,,,,
08:00,2012-08-31,Campinas-Taquaral,,,,,,
09:00,2012-08-31,Campinas-Taquaral,,,,,,
10:00,2012-08-31,Campinas-Taquaral,,,,,,
11:00,2012-08-31,Campinas-Taquaral,,,,,,
12:00,2012-08-31,Campinas-Taquaral,,,,,,
13:00,2012-08-31,Campinas-Taquaral,,,,,,
14:00,2012-08-31,Campinas-Taquaral,,,,,,
15:00,2012-08-31,Campinas-Taquaral,,,,,,
16:00,2012-08-31,Campinas-Taquaral,,,,,,
17:00,2012-08-31,Campinas-Taquaral,,,,,,
18:00,2012-08-31,Campinas-Taquaral,,,,,,
19:00,2012-08-31,Campinas-Taquaral,,,,,,
20:00,2012-08-31,Campinas-Taquaral,,,,,,
21:00,2012-08-31,Campinas-Taquaral,,,,,,
22:00,2012-08-31,Campinas-Taquaral,,,,,,
23:00,2012-08-31,Campinas-Taquaral,,,,,,
24:00,2012-08-31,Campinas-Taquaral,,,,,,
01:00,2012-09-01,Campinas-Taquaral,,,,,,
02:00,2012-09-01,Campinas-Taquaral,,,,,,
03:00,2012-09-01,Campinas-Taquaral,,,,,,
04:00,2012-09-01,Campinas-Taquaral,,,,,,
05:00,2012-09-01,Campinas-Taquaral,,,,,,
06:00,2012-09-01,Campinas-Taquaral,,,,,,
07:00,2012-09-01,Campinas-Taquaral,,,,,,
08:00,2012-09-01,Campinas-Taquaral,,,,,,
09:00,2012-09-01,Campinas-Taquaral,,,,,,
10:00,2012-09-01,Campinas-Taquaral,,,,,,
11:00,2012-09-01,Campinas-Taquaral,,,,,,
12:00,2012-09-01,Campinas-Taquaral,,,,,,
13:00,2012-09-01,Campinas-Taquaral,,,,,,
14:00,2012-09-01,Campinas-Taquaral,,,,,,
15:00,2012-09-01,Campinas-Taquaral,,,,,,
16:00,2012-09-01,Campinas-Taquaral,,,,,,
17:00,2012-09-01,Campinas-Taquaral,,,,,,
18:00,2012-09-01,Campinas-Taquaral,,,,,,
19:00,2012-09-01,Campinas-Taquaral,,,,,,
20:00,2012-09-01,Campinas-Taquaral,,,,,,
21:00,2012-09-01,Campinas-Taquaral,,,,,,
22:00,2012-09-01,Campinas-Taquaral,,,,,,
23:00,2012-09-01,Campinas-Taquaral,,,,,,
24:00,2012-09-01,Campinas-Taquaral,,,,,,
01:00,2012-09-02,Campinas-Taquaral,,,,,,
02:00,2012-09-02,Campinas-Taquaral,,,,,,
03:00,2012-09-02,Campinas-Taquaral,,,,,,
04:00,2012-09-02,Campinas-Taquaral,,,,,,
05:00,2012-09-02,Campinas-Taquaral,,,,,,
06:00,2012-09-02,Campinas-Taquaral,,,,,,
07:00,2012-09-02,Campinas-Taquaral,,,,,,
08:00,2012-09-02,Campinas-Taquaral,,,,,,
09:00,2012-09-02,Campinas-Taquaral,,,,,,
10:00,2012-09-02,Campinas-Taquaral,,,,,,
11:00,2012-09-02,Campinas-Taquaral,,,,,,
12:00,2012-09-02,Campinas-Taquaral,,,,,,
13:00,2012-09-02,Campinas-Taquaral,,,,,,
14:00,2012-09-02,Campinas-Taquaral,,,,,,
15:00,2012-09-02,Campinas-Taquaral,,,,,,
16:00,2012-09-02,Campinas-Taquaral,,,,,,
17:00,2012-09-02,Campinas-Taquaral,,,,,,
18:00,2012-09-02,Campinas-Taquaral,,,,,,
19:00,2012-09-02,Campinas-Taquaral,,,,,,
20:00,2012-09-02,Campinas-Taquaral,,,,,,
21:00,2012-09-02,Campinas-Taquaral,,,,,,
22:00,2012-09-02,Campinas-Taquaral,,,,,,
23:00,2012-09-02,Campinas-Taquaral,,,,,,
24:00,2012-09-02,Campinas-Taquaral,,,,,,
01:00,2012-09-03,Campinas-Taquaral,,,,,,
