Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
02:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
03:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
04:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
05:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
06:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
07:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
08:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
09:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
10:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
11:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
12:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
13:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
14:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
15:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
16:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
17:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
18:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
19:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
20:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
21:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
22:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
23:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
24:00,2012-08-30,Paulínia-Sta Terezinha,,,,,,
01:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
02:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
03:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
04:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
05:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
06:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
07:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
08:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
09:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
10:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
11:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
12:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
13:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
14:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
15:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
16:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
17:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
18:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
19:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
20:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
21:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
22:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
23:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
24:00,2012-08-31,Paulínia-Sta Terezinha,,,,,,
01:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
02:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
03:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
04:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
05:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
06:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
07:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
08:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
09:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
10:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
11:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
12:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
13:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
14:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
15:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
16:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
17:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
18:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
19:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
20:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
21:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
22:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
23:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
24:00,2012-09-01,Paulínia-Sta Terezinha,,,,,,
01:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
02:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
03:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
04:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
05:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
06:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
07:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
08:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
09:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
10:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
11:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
12:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
13:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
14:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
15:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
16:00,2012-09-02,Paulínia-Sta Terezinha,,,,,,
