Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Taubaté,,,,,,
02:00,2012-08-30,Taubaté,,,,,,
03:00,2012-08-30,Taubaté,,,,,,
04:00,2012-08-30,Taubaté,,,,,,
05:00,2012-08-30,Taubaté,,,,,,
06:00,2012-08-30,Taubaté,,,,,,
07:00,2012-08-30,Taubaté,,,,,,
08:00,2012-08-30,Taubaté,,,,,,
09:00,2012-08-30,Taubaté,,,,,,
10:00,2012-08-30,Taubaté,,,,,,
11:00,2012-08-30,Taubaté,,,,,,
12:00,2012-08-30,Taubaté,,,,,,
13:00,2012-08-30,Taubaté,,,,,,
14:00,2012-08-30,Taubaté,,,,,,
15:00,2012-08-30,Taubaté,,,,,,
16:00,2012-08-30,Taubaté,,,,,,
17:00,2012-08-30,Taubaté,,,,,,
18:00,2012-08-30,Taubaté,,,,,,
19:00,2012-08-30,Taubaté,,,,,,
20:00,2012-08-30,Taubaté,,,,,,
21:00,2012-08-30,Taubaté,,,,,,
22:00,2012-08-30,Taubaté,,,,,,
23:00,2012-08-30,Taubaté,,,,,,
24:00,2012-08-30,Taubaté,,,,,,
01:00,2012-08-31,Taubaté,,,,,,
02:00,2012-08-31,Taubaté,,,,,,
03:00,2012-08-31,Taubaté,,,,,,
04:00,2012-08-31,Taubaté,,,,,,
05:00,2012-08-31,Taubaté,,,,,,
06:00,2012-08-31,Taubaté,,,,,,
07:00,2012-08-31,Taubaté,,,,,,
08:00,2012-08-31,Taubaté,,,,,,
09:00,2012-08-31,Taubaté,,,,,,
10:00,2012-08-31,Taubaté,,,,,,
11:00,2012-08-31,Taubaté,,,,,,
12:00,2012-08-31,Taubaté,,,,,,
13:00,2012-08-31,Taubaté,,,,,,
14:00,2012-08-31,Taubaté,,,,,,
15:00,2012-08-31,Taubaté,,,,,,
16:00,2012-08-31,Taubaté,,,,,,
17:00,2012-08-31,Taubaté,,,,,,
18:00,2012-08-31,Taubaté,,,,,,
19:00,2012-08-31,Taubaté,,,,,,
20:00,2012-08-31,Taubaté,,,,,,
21:00,2012-08-31,Taubaté,,,,,,
22:00,2012-08-31,Taubaté,,,,,,
23:00,2012-08-31,Taubaté,,,,,,
24:00,2012-08-31,Taubaté,,,,,,
01:00,2012-09-01,Taubaté,,,,,,
02:00,2012-09-01,Taubaté,,,,,,
03:00,2012-09-01,Taubaté,,,,,,
04:00,2012-09-01,Taubaté,,,,,,
05:00,2012-09-01,Taubaté,,,,,,
06:00,2012-09-01,Taubaté,,,,,,
07:00,2012-09-01,Taubaté,,,,,,
08:00,2012-09-01,Taubaté,,,,,,
09:00,2012-09-01,Taubaté,,,,,,
10:00,2012-09-01,Taubaté,,,,,,
11:00,2012-09-01,Taubaté,,,,,,
12:00,2012-09-01,Taubaté,,,,,,
13:00,2012-09-01,Taubaté,,,,,,
14:00,2012-09-01,Taubaté,,,,,,
15:00,2012-09-01,Taubaté,,,,,,
16:00,2012-09-01,Taubaté,,,,,,
17:00,2012-09-01,Taubaté,,,,,,
18:00,2012-09-01,Taubaté,,,,,,
19:00,2012-09-01,Taubaté,,,,,,
20:00,2012-09-01,Taubaté,,,,,,
21:00,2012-09-01,Taubaté,,,,,,
22:00,2012-09-01,Taubaté,,,,,,
23:00,2012-09-01,Taubaté,,,,,,
24:00,2012-09-01,Taubaté,,,,,,
01:00,2012-09-02,Taubaté,,,,,,
02:00,2012-09-02,Taubaté,,,,,,
03:00,2012-09-02,Taubaté,,,,,,
04:00,2012-09-02,Taubaté,,,,,,
05:00,2012-09-02,Taubaté,,,,,,
06:00,2012-09-02,Taubaté,,,,,,
07:00,2012-09-02,Taubaté,,,,,,
08:00,2012-09-02,Taubaté,,,,,,
09:00,2012-09-02,Taubaté,,,,,,
10:00,2012-09-02,Taubaté,,,,,,
11:00,2012-09-02,Taubaté,,,,,,
12:00,2012-09-02,Taubaté,,,,,,
13:00,2012-09-02,Taubaté,,,,,,
14:00,2012-09-02,Taubaté,,,,,,
15:00,2012-09-02,Taubaté,,,,,,
16:00,2012-09-02,Taubaté,,,,,,
17:00,2012-09-02,Taubaté,,,,,,
18:00,2012-09-02,Taubaté,,,,,,
19:00,2012-09-02,Taubaté,,,,,,
20:00,2012-09-02,Taubaté,,,,,,
21:00,2012-09-02,Taubaté,,,,,,
22:00,2012-09-02,Taubaté,,,,,,
23:00,2012-09-02,Taubaté,,,,,,
24:00,2012-09-02,Taubaté,,,,,,
01:00,2012-09-03,Taubaté,,,,,,
02:00,2012-09-03,Taubaté,,,,,,
03:00,2012-09-03,Taubaté,,,,,,
04:00,2012-09-03,Taubaté,,,,,,
05:00,2012-09-03,Taubaté,,,,,,
06:00,2012-09-03,Taubaté,,,,,,
07:00,2012-09-03,Taubaté,,,,,,
08:00,2012-09-03,Taubaté,,,,,,
09:00,2012-09-03,Taubaté,,,,,,
10:00,2012-09-03,Taubaté,,,,,,
11:00,2012-09-03,Taubaté,,,,,,
12:00,2012-09-03,Taubaté,,,,,,
13:00,2012-09-03,Taubaté,,,,,,
14:00,2012-09-03,Taubaté,,,,,,
15:00,2012-09-03,Taubaté,,,,,,
16:00,2012-09-03,Taubaté,,,,,,
17:00,2012-09-03,Taubaté,,,,,,
18:00,2012-09-03,Taubaté,,,,,,
19:00,2012-09-03,Taubaté,,,,,,
