Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Guaratinguetá,,,,,,
02:00,2012-08-30,Guaratinguetá,,,,,,
03:00,2012-08-30,Guaratinguetá,,,,,,
04:00,2012-08-30,Guaratinguetá,,,,,,
05:00,2012-08-30,Guaratinguetá,,,,,,
06:00,2012-08-30,Guaratinguetá,,,,,,
07:00,2012-08-30,Guaratinguetá,,,,,,
08:00,2012-08-30,Guaratinguetá,,,,,,
09:00,2012-08-30,Guaratinguetá,,,,,,
10:00,2012-08-30,Guaratinguetá,,,,,,
11:00,2012-08-30,Guaratinguetá,,,,,,
12:00,2012-08-30,Guaratinguetá,,,,,,
13:00,2012-08-30,Guaratinguetá,,,,,,
14:00,2012-08-30,Guaratinguetá,,,,,,
15:00,2012-08-30,Guaratinguetá,,,,,,
16:00,2012-08-30,Guaratinguetá,,,,,,
17:00,2012-08-30,Guaratinguetá,,,,,,
18:00,2012-08-30,Guaratinguetá,,,,,,
19:00,2012-08-30,Guaratinguetá,,,,,,
20:00,2012-08-30,Guaratinguetá,,,,,,
21:00,2012-08-30,Guaratinguetá,,,,,,
22:00,2012-08-30,Guaratinguetá,,,,,,
23:00,2012-08-30,Guaratinguetá,,,,,,
24:00,2012-08-30,Guaratinguetá,,,,,,
01:00,2012-08-31,Guaratinguetá,,,,,,
02:00,2012-08-31,Guaratinguetá,,,,,,
03:00,2012-08-31,Guaratinguetá,,,,,,
04:00,2012-08-31,Guaratinguetá,,,,,,
05:00,2012-08-31,Guaratinguetá,,,,,,
06:00,2012-08-31,Guaratinguetá,,,,,,
07:00,2012-08-31,Guaratinguetá,,,,,,
08:00,2012-08-31,Guaratinguetá,,,,,,
09:00,2012-08-31,Guaratinguetá,,,,,,
10:00,2012-08-31,Guaratinguetá,,,,,,
11:00,2012-08-31,Guaratinguetá,,,,,,
12:00,2012-08-31,Guaratinguetá,,,,,,
13:00,2012-08-31,Guaratinguetá,,,,,,
14:00,2012-08-31,Guaratinguetá,,,,,,
15:00,2012-08-31,Guaratinguetá,,,,,,
16:00,2012-08-31,Guaratinguetá,,,,,,
17:00,2012-08-31,Guaratinguetá,,,,,,
18:00,2012-08-31,Guaratinguetá,,,,,,
19:00,2012-08-31,Guaratinguetá,,,,,,
20:00,2012-08-31,Guaratinguetá,,,,,,
21:00,2012-08-31,Guaratinguetá,,,,,,
22:00,2012-08-31,Guaratinguetá,,,,,,
23:00,2012-08-31,Guaratinguetá,,,,,,
24:00,2012-08-31,Guaratinguetá,,,,,,
01:00,2012-09-01,Guaratinguetá,,,,,,
02:00,2012-09-01,Guaratinguetá,,,,,,
03:00,2012-09-01,Guaratinguetá,,,,,,
04:00,2012-09-01,Guaratinguetá,,,,,,
05:00,2012-09-01,Guaratinguetá,,,,,,
06:00,2012-09-01,Guaratinguetá,,,,,,
07:00,2012-09-01,Guaratinguetá,,,,,,
08:00,2012-09-01,Guaratinguetá,,,,,,
09:00,2012-09-01,Guaratinguetá,,,,,,
