Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Limeira,,,,,,
02:00,2012-08-30,Limeira,,,,,,
03:00,2012-08-30,Limeira,,,,,,
04:00,2012-08-30,Limeira,,,,,,
05:00,2012-08-30,Limeira,,,,,,
06:00,2012-08-30,Limeira,,,,,,
07:00,2012-08-30,Limeira,,,,,,
08:00,2012-08-30,Limeira,,,,,,
09:00,2012-08-30,Limeira,,,,,,
10:00,2012-08-30,Limeira,,,,,,
11:00,2012-08-30,Limeira,,,,,,
12:00,2012-08-30,Limeira,,,,,,
13:00,2012-08-30,Limeira,,,,,,
14:00,2012-08-30,Limeira,,,,,,
15:00,2012-08-30,Limeira,,,,,,
16:00,2012-08-30,Limeira,,,,,,
17:00,2012-08-30,Limeira,,,,,,
18:00,2012-08-30,Limeira,,,,,,
19:00,2012-08-30,Limeira,,,,,,
20:00,2012-08-30,Limeira,,,,,,
21:00,2012-08-30,Limeira,,,,,,
22:00,2012-08-30,Limeira,,,,,,
23:00,2012-08-30,Limeira,,,,,,
24:00,2012-08-30,Limeira,,,,,,
01:00,2012-08-31,Limeira,,,,,,
02:00,2012-08-31,Limeira,,,,,,
03:00,2012-08-31,Limeira,,,,,,
04:00,2012-08-31,Limeira,,,,,,
05:00,2012-08-31,Limeira,,,,,,
06:00,2012-08-31,Limeira,,,,,,
07:00,2012-08-31,Limeira,,,,,,
08:00,2012-08-31,Limeira,,,,,,
09:00,2012-08-31,Limeira,,,,,,
10:00,2012-08-31,Limeira,,,,,,
11:00,2012-08-31,Limeira,,,,,,
12:00,2012-08-31,Limeira,,,,,,
13:00,2012-08-31,Limeira,,,,,,
14:00,2012-08-31,Limeira,,,,,,
15:00,2012-08-31,Limeira,,,,,,
16:00,2012-08-31,Limeira,,,,,,
17:00,2012-08-31,Limeira,,,,,,
18:00,2012-08-31,Limeira,,,,,,
19:00,2012-08-31,Limeira,,,,,,
20:00,2012-08-31,Limeira,,,,,,
21:00,2012-08-31,Limeira,,,,,,
22:00,2012-08-31,Limeira,,,,,,
23:00,2012-08-31,Limeira,,,,,,
24:00,2012-08-31,Limeira,,,,,,
01:00,2012-09-01,Limeira,,,,,,
02:00,2012-09-01,Limeira,,,,,,
03:00,2012-09-01,Limeira,,,,,,
04:00,2012-09-01,Limeira,,,,,,
05:00,2012-09-01,Limeira,,,,,,
06:00,2012-09-01,Limeira,,,,,,
07:00,2012-09-01,Limeira,,,,,,
08:00,2012-09-01,Limeira,,,,,,
09:00,2012-09-01,Limeira,,,,,,
10:00,2012-09-01,Limeira,,,,,,
11:00,2012-09-01,Limeira,,,,,,
12:00,2012-09-01,Limeira,,,,,,
13:00,2012-09-01,Limeira,,,,,,
14:00,2012-09-01,Limeira,,,,,,
15:00,2012-09-01,Limeira,,,,,,
16:00,2012-09-01,Limeira,,,,,,
17:00,2012-09-01,Limeira,,,,,,
18:00,2012-09-01,Limeira,,,,,,
19:00,2012-09-01,Limeira,,,,,,
20:00,2012-09-01,Limeira,,,,,,
21:00,2012-09-01,Limeira,,,,,,
22:00,2012-09-01,Limeira,,,,,,
23:00,2012-09-01,Limeira,,,,,,
24:00,2012-09-01,Limeira,,,,,,
01:00,2012-09-02,Limeira,,,,,,
02:00,2012-09-02,Limeira,,,,,,
03:00,2012-09-02,Limeira,,,,,,
04:00,2012-09-02,Limeira,,,,,,
05:00,2012-09-02,Limeira,,,,,,
06:00,2012-09-02,Limeira,,,,,,
07:00,2012-09-02,Limeira,,,,,,
08:00,2012-09-02,Limeira,,,,,,
09:00,2012-09-02,Limeira,,,,,,
10:00,2012-09-02,Limeira,,,,,,
11:00,2012-09-02,Limeira,,,,,,
12:00,2012-09-02,Limeira,,,,,,
13:00,2012-09-02,Limeira,,,,,,
14:00,2012-09-02,Limeira,,,,,,
15:00,2012-09-02,Limeira,,,,,,
16:00,2012-09-02,Limeira,,,,,,
17:00,2012-09-02,Limeira,,,,,,
18:00,2012-09-02,Limeira,,,,,,
19:00,2012-09-02,Limeira,,,,,,
20:00,2012-09-02,Limeira,,,,,,
21:00,2012-09-02,Limeira,,,,,,
22:00,2012-09-02,Limeira,,,,,,
23:00,2012-09-02,Limeira,,,,,,
24:00,2012-09-02,Limeira,,,,,,
01:00,2012-09-03,Limeira,,,,,,
02:00,2012-09-03,Limeira,,,,,,
03:00,2012-09-03,Limeira,,,,,,
04:00,2012-09-03,Limeira,,,,,,
05:00,2012-09-03,Limeira,,,,,,
06:00,2012-09-03,Limeira,,,,,,
07:00,2012-09-03,Limeira,,,,,,
08:00,2012-09-03,Limeira,,,,,,
09:00,2012-09-03,Limeira,,,,,,
10:00,2012-09-03,Limeira,,,,,,
11:00,2012-09-03,Limeira,,,,,,
12:00,2012-09-03,Limeira,,,,,,
13:00,2012-09-03,Limeira,,,,,,
14:00,2012-09-03,Limeira,,,,,,
15:00,2012-09-03,Limeira,,,,,,
16:00,2012-09-03,Limeira,,,,,,
17:00,2012-09-03,Limeira,,,,,,
18:00,2012-09-03,Limeira,,,,,,
19:00,2012-09-03,Limeira,,,,,,
20:00,2012-09-03,Limeira,,,,,,
21:00,2012-09-03,Limeira,,,,,,
22:00,2012-09-03,Limeira,,,,,,
23:00,2012-09-03,Limeira,,,,,,
24:00,2012-09-03,Limeira,,,,,,
01:00,2012-09-04,Limeira,,,,,,
02:00,2012-09-04,Limeira,,,,,,
03:00,2012-09-04,Limeira,,,,,,
04:00,2012-09-04,Limeira,,,,,,
05:00,2012-09-04,Limeira,,,,,,
06:00,2012-09-04,Limeira,,,,,,
07:00,2012-09-04,Limeira,,,,,,
08:00,2012-09-04,Limeira,,,,,,
09:00,2012-09-04,Limeira,,,,,,
10:00,2012-09-04,Limeira,,,,,,
11:00,2012-09-04,Limeira,,,,,,
12:00,2012-09-04,Limeira,,,,,,
13:00,2012-09-04,Limeira,,,,,,
14:00,2012-09-04,Limeira,,,,,,
15:00,2012-09-04,Limeira,,,,,,
16:00,2012-09-04,Limeira,,,,,,
17:00,2012-09-04,Limeira,,,,,,
18:00,2012-09-04,Limeira,,,,,,
19:00,2012-09-04,Limeira,,,,,,
20:00,2012-09-04,Limeira,,,,,,
21:00,2012-09-04,Limeira,,,,,,
22:00,2012-09-04,Limeira,,,,,,
23:00,2012-09-04,Limeira,,,,,,
24:00,2012-09-04,Limeira,,,,,,
01:00,2012-09-05,Limeira,,,,,,
02:00,2012-09-05,Limeira,,,,,,
03:00,2012-09-05,Limeira,,,,,,
04:00,2012-09-05,Limeira,,,,,,
05:00,2012-09-05,Limeira,,,,,,
06:00,2012-09-05,Limeira,,,,,,
07:00,2012-09-05,Limeira,,,,,,
08:00,2012-09-05,Limeira,,,,,,
09:00,2012-09-05,Limeira,,,,,,
10:00,2012-09-05,Limeira,,,,,,
11:00,2012-09-05,Limeira,,,,,,
12:00,2012-09-05,Limeira,,,,,,
13:00,2012-09-05,Limeira,,,,,,
14:00,2012-09-05,Limeira,,,,,,
15:00,2012-09-05,Limeira,,,,,,
16:00,2012-09-05,Limeira,,,,,,
17:00,2012-09-05,Limeira,,,,,,
18:00,2012-09-05,Limeira,,,,,,
19:00,2012-09-05,Limeira,,,,,,
20:00,2012-09-05,Limeira,,,,,,
21:00,2012-09-05,Limeira,,,,,,
22:00,2012-09-05,Limeira,,,,,,
23:00,2012-09-05,Limeira,,,,,,
24:00,2012-09-05,Limeira,,,,,,
01:00,2012-09-06,Limeira,,,,,,
02:00,2012-09-06,Limeira,,,,,,
03:00,2012-09-06,Limeira,,,,,,
04:00,2012-09-06,Limeira,,,,,,
05:00,2012-09-06,Limeira,,,,,,
06:00,2012-09-06,Limeira,,,,,,
07:00,2012-09-06,Limeira,,,,,,
08:00,2012-09-06,Limeira,,,,,,
09:00,2012-09-06,Limeira,,,,,,
10:00,2012-09-06,Limeira,,,,,,
11:00,2012-09-06,Limeira,,,,,,
12:00,2012-09-06,Limeira,,,,,,
13:00,2012-09-06,Limeira,,,,,,
14:00,2012-09-06,Limeira,,,,,,
15:00,2012-09-06,Limeira,,,,,,
16:00,2012-09-06,Limeira,,,,,,
17:00,2012-09-06,Limeira,,,,,,
18:00,2012-09-06,Limeira,,,,,,
19:00,2012-09-06,Limeira,,,,,,
20:00,2012-09-06,Limeira,,,,,,
21:00,2012-09-06,Limeira,,,,,,
22:00,2012-09-06,Limeira,,,,,,
23:00,2012-09-06,Limeira,,,,,,
24:00,2012-09-06,Limeira,,,,,,
01:00,2012-09-07,Limeira,,,,,,
02:00,2012-09-07,Limeira,,,,,,
03:00,2012-09-07,Limeira,,,,,,
04:00,2012-09-07,Limeira,,,,,,
05:00,2012-09-07,Limeira,,,,,,
06:00,2012-09-07,Limeira,,,,,,
07:00,2012-09-07,Limeira,,,,,,
08:00,2012-09-07,Limeira,,,,,,
09:00,2012-09-07,Limeira,,,,,,
10:00,2012-09-07,Limeira,,,,,,
11:00,2012-09-07,Limeira,,,,,,
12:00,2012-09-07,Limeira,,,,,,
13:00,2012-09-07,Limeira,,,,,,
14:00,2012-09-07,Limeira,,,,,,
15:00,2012-09-07,Limeira,,,,,,
16:00,2012-09-07,Limeira,,,,,,
17:00,2012-09-07,Limeira,,,,,,
18:00,2012-09-07,Limeira,,,,,,
19:00,2012-09-07,Limeira,,,,,,
20:00,2012-09-07,Limeira,,,,,,
21:00,2012-09-07,Limeira,,,,,,
22:00,2012-09-07,Limeira,,,,,,
23:00,2012-09-07,Limeira,,,,,,
24:00,2012-09-07,Limeira,,,,,,
01:00,2012-09-08,Limeira,,,,,,
02:00,2012-09-08,Limeira,,,,,,
03:00,2012-09-08,Limeira,,,,,,
04:00,2012-09-08,Limeira,,,,,,
05:00,2012-09-08,Limeira,,,,,,
06:00,2012-09-08,Limeira,,,,,,
07:00,2012-09-08,Limeira,,,,,,
08:00,2012-09-08,Limeira,,,,,,
09:00,2012-09-08,Limeira,,,,,,
10:00,2012-09-08,Limeira,,,,,,
11:00,2012-09-08,Limeira,,,,,,
12:00,2012-09-08,Limeira,,,,,,
13:00,2012-09-08,Limeira,,,,,,
14:00,2012-09-08,Limeira,,,,,,
15:00,2012-09-08,Limeira,,,,,,
16:00,2012-09-08,Limeira,,,,,,
17:00,2012-09-08,Limeira,,,,,,
18:00,2012-09-08,Limeira,,,,,,
19:00,2012-09-08,Limeira,,,,,,
20:00,2012-09-08,Limeira,,,,,,
21:00,2012-09-08,Limeira,,,,,,
22:00,2012-09-08,Limeira,,,,,,
23:00,2012-09-08,Limeira,,,,,,
24:00,2012-09-08,Limeira,,,,,,
01:00,2012-09-09,Limeira,,,,,,
02:00,2012-09-09,Limeira,,,,,,
03:00,2012-09-09,Limeira,,,,,,
04:00,2012-09-09,Limeira,,,,,,
05:00,2012-09-09,Limeira,,,,,,
06:00,2012-09-09,Limeira,,,,,,
07:00,2012-09-09,Limeira,,,,,,
08:00,2012-09-09,Limeira,,,,,,
09:00,2012-09-09,Limeira,,,,,,
10:00,2012-09-09,Limeira,,,,,,
11:00,2012-09-09,Limeira,,,,,,
12:00,2012-09-09,Limeira,,,,,,
13:00,2012-09-09,Limeira,,,,,,
14:00,2012-09-09,Limeira,,,,,,
15:00,2012-09-09,Limeira,,,,,,
16:00,2012-09-09,Limeira,,,,,,
17:00,2012-09-09,Limeira,,,,,,
18:00,2012-09-09,Limeira,,,,,,
19:00,2012-09-09,Limeira,,,,,,
20:00,2012-09-09,Limeira,,,,,,
21:00,2012-09-09,Limeira,,,,,,
22:00,2012-09-09,Limeira,,,,,,
23:00,2012-09-09,Limeira,,,,,,
24:00,2012-09-09,Limeira,,,,,,
01:00,2012-09-10,Limeira,,,,,,
02:00,2012-09-10,Limeira,,,,,,
03:00,2012-09-10,Limeira,,,,,,
04:00,2012-09-10,Limeira,,,,,,
05:00,2012-09-10,Limeira,,,,,,
06:00,2012-09-10,Limeira,,,,,,
07:00,2012-09-10,Limeira,,,,,,
08:00,2012-09-10,Limeira,,,,,,
09:00,2012-09-10,Limeira,,,,,,
10:00,2012-09-10,Limeira,,,,,,
11:00,2012-09-10,Limeira,,,,,,
12:00,2012-09-10,Limeira,,,,,,
13:00,2012-09-10,Limeira,,,,,,
14:00,2012-09-10,Limeira,,,,,,
15:00,2012-09-10,Limeira,,,,,,
16:00,2012-09-10,Limeira,,,,,,
17:00,2012-09-10,Limeira,,,,,,
18:00,2012-09-10,Limeira,,,,,,
19:00,2012-09-10,Limeira,,,,,,
20:00,2012-09-10,Limeira,,,,,,
21:00,2012-09-10,Limeira,,,,,,
22:00,2012-09-10,Limeira,,,,,,
23:00,2012-09-10,Limeira,,,,,,
24:00,2012-09-10,Limeira,,,,,,
01:00,2012-09-11,Limeira,,,,,,
02:00,2012-09-11,Limeira,,,,,,
03:00,2012-09-11,Limeira,,,,,,
04:00,2012-09-11,Limeira,,,,,,
05:00,2012-09-11,Limeira,,,,,,
06:00,2012-09-11,Limeira,,,,,,
07:00,2012-09-11,Limeira,,,,,,
08:00,2012-09-11,Limeira,,,,,,
09:00,2012-09-11,Limeira,,,,,,
10:00,2012-09-11,Limeira,,,,,,
11:00,2012-09-11,Limeira,,,,,,
12:00,2012-09-11,Limeira,,,,,,
13:00,2012-09-11,Limeira,,,,,,
14:00,2012-09-11,Limeira,,,,,,
15:00,2012-09-11,Limeira,,,,,,
16:00,2012-09-11,Limeira,,,,,,
17:00,2012-09-11,Limeira,,,,,,
18:00,2012-09-11,Limeira,,,,,,
19:00,2012-09-11,Limeira,,,,,,
20:00,2012-09-11,Limeira,,,,,,
21:00,2012-09-11,Limeira,,,,,,
22:00,2012-09-11,Limeira,,,,,,
23:00,2012-09-11,Limeira,,,,,,
24:00,2012-09-11,Limeira,,,,,,
