Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Jundiaí,7.0,20.0,20.0,,,
02:00,2012-08-30,Jundiaí,9.0,20.0,20.0,,,
03:00,2012-08-30,Jundiaí,6.0,19.0,19.0,,,
04:00,2012-08-30,Jundiaí,7.0,18.0,18.0,,,
05:00,2012-08-30,Jundiaí,7.0,18.0,18.0,,,
06:00,2012-08-30,Jundiaí,4.0,17.0,17.0,,,
07:00,2012-08-30,Jundiaí,8.0,18.0,18.0,,,
08:00,2012-08-30,Jundiaí,6.0,18.0,18.0,,,
09:00,2012-08-30,Jundiaí,8.0,18.0,18.0,,,
10:00,2012-08-30,Jundiaí,21.0,18.0,18.0,,,
11:00,2012-08-30,Jundiaí,24.0,18.0,18.0,,,
12:00,2012-08-30,Jundiaí,14.0,18.0,18.0,,,
13:00,2012-08-30,Jundiaí,18.0,18.0,18.0,,,
14:00,2012-08-30,Jundiaí,18.0,17.0,17.0,,,
15:00,2012-08-30,Jundiaí,28.0,17.0,17.0,,,
16:00,2012-08-30,Jundiaí,23.0,17.0,17.0,,,
17:00,2012-08-30,Jundiaí,24.0,18.0,18.0,,,
18:00,2012-08-30,Jundiaí,41.0,17.0,17.0,,,
19:00,2012-08-30,Jundiaí,38.0,17.0,17.0,,,
20:00,2012-08-30,Jundiaí,36.0,17.0,17.0,,,
21:00,2012-08-30,Jundiaí,27.0,17.0,17.0,,,
22:00,2012-08-30,Jundiaí,31.0,18.0,18.0,,,
23:00,2012-08-30,Jundiaí,26.0,18.0,18.0,,,
24:00,2012-08-30,Jundiaí,16.0,19.0,19.0,,,
01:00,2012-08-31,Jundiaí,10.0,19.0,19.0,,,
02:00,2012-08-31,Jundiaí,11.0,19.0,19.0,,,
03:00,2012-08-31,Jundiaí,8.0,19.0,19.0,,,
04:00,2012-08-31,Jundiaí,6.0,19.0,19.0,,,
05:00,2012-08-31,Jundiaí,8.0,19.0,19.0,,,
06:00,2012-08-31,Jundiaí,4.0,19.0,19.0,,,
07:00,2012-08-31,Jundiaí,5.0,19.0,19.0,,,
08:00,2012-08-31,Jundiaí,3.0,19.0,19.0,,,
09:00,2012-08-31,Jundiaí,26.0,19.0,19.0,,,
10:00,2012-08-31,Jundiaí,35.0,20.0,20.0,,,
11:00,2012-08-31,Jundiaí,37.0,21.0,21.0,,,
12:00,2012-08-31,Jundiaí,34.0,21.0,21.0,,,
13:00,2012-08-31,Jundiaí,29.0,22.0,22.0,,,
14:00,2012-08-31,Jundiaí,63.0,24.0,24.0,,,
15:00,2012-08-31,Jundiaí,68.0,25.0,25.0,,,
16:00,2012-08-31,Jundiaí,51.0,27.0,27.0,,,
17:00,2012-08-31,Jundiaí,49.0,28.0,28.0,,,
18:00,2012-08-31,Jundiaí,55.0,28.0,28.0,,,
19:00,2012-08-31,Jundiaí,54.0,29.0,29.0,,,
20:00,2012-08-31,Jundiaí,65.0,30.0,30.0,,,
21:00,2012-08-31,Jundiaí,67.0,32.0,32.0,,,
22:00,2012-08-31,Jundiaí,64.0,33.0,33.0,,,
23:00,2012-08-31,Jundiaí,52.0,34.0,34.0,,,
24:00,2012-08-31,Jundiaí,63.0,36.0,36.0,,,
01:00,2012-09-01,Jundiaí,64.0,38.0,38.0,,,
02:00,2012-09-01,Jundiaí,61.0,40.0,40.0,,,
