Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Piracicaba,37.0,26.0,26.0,16.0,9.0,0.0
02:00,2012-08-30,Piracicaba,31.0,26.0,26.0,12.0,9.0,0.0
03:00,2012-08-30,Piracicaba,26.0,26.0,26.0,11.0,9.0,0.0
04:00,2012-08-30,Piracicaba,41.0,27.0,27.0,18.0,9.0,0.0
05:00,2012-08-30,Piracicaba,53.0,29.0,29.0,23.0,10.0,0.0
06:00,2012-08-30,Piracicaba,76.0,31.0,31.0,18.0,10.0,0.0
07:00,2012-08-30,Piracicaba,56.0,33.0,33.0,16.0,11.0,0.0
08:00,2012-08-30,Piracicaba,32.0,34.0,34.0,11.0,11.0,0.0
09:00,2012-08-30,Piracicaba,25.0,34.0,34.0,2.0,11.0,0.0
10:00,2012-08-30,Piracicaba,26.0,34.0,34.0,6.0,11.0,0.0
11:00,2012-08-30,Piracicaba,20.0,34.0,34.0,7.0,11.0,0.0
12:00,2012-08-30,Piracicaba,23.0,34.0,34.0,3.0,11.0,0.0
13:00,2012-08-30,Piracicaba,27.0,34.0,34.0,12.0,11.0,0.0
14:00,2012-08-30,Piracicaba,33.0,35.0,35.0,11.0,12.0,0.0
15:00,2012-08-30,Piracicaba,34.0,35.0,35.0,7.0,12.0,0.0
16:00,2012-08-30,Piracicaba,39.0,35.0,35.0,15.0,12.0,0.0
17:00,2012-08-30,Piracicaba,35.0,36.0,36.0,13.0,12.0,0.0
18:00,2012-08-30,Piracicaba,49.0,37.0,37.0,14.0,12.0,0.0
19:00,2012-08-30,Piracicaba,47.0,37.0,37.0,18.0,13.0,0.0
20:00,2012-08-30,Piracicaba,51.0,37.0,37.0,14.0,13.0,0.0
21:00,2012-08-30,Piracicaba,47.0,38.0,38.0,19.0,13.0,0.0
22:00,2012-08-30,Piracicaba,39.0,38.0,38.0,12.0,13.0,0.0
23:00,2012-08-30,Piracicaba,37.0,38.0,38.0,16.0,13.0,0.0
24:00,2012-08-30,Piracicaba,32.0,38.0,38.0,14.0,13.0,0.0
01:00,2012-08-31,Piracicaba,50.0,39.0,39.0,16.0,13.0,0.0
02:00,2012-08-31,Piracicaba,60.0,40.0,40.0,14.0,13.0,0.0
03:00,2012-08-31,Piracicaba,34.0,40.0,40.0,14.0,13.0,0.0
04:00,2012-08-31,Piracicaba,37.0,40.0,40.0,15.0,13.0,0.0
05:00,2012-08-31,Piracicaba,37.0,39.0,39.0,18.0,13.0,0.0
06:00,2012-08-31,Piracicaba,29.0,37.0,37.0,11.0,12.0,0.0
07:00,2012-08-31,Piracicaba,43.0,37.0,37.0,21.0,13.0,0.0
08:00,2012-08-31,Piracicaba,57.0,38.0,38.0,18.0,13.0,0.0
09:00,2012-08-31,Piracicaba,88.0,41.0,41.0,19.0,14.0,0.0
10:00,2012-08-31,Piracicaba,76.0,43.0,43.0,25.0,14.0,0.0
11:00,2012-08-31,Piracicaba,31.0,43.0,43.0,13.0,15.0,0.0
12:00,2012-08-31,Piracicaba,25.0,43.0,43.0,9.0,15.0,0.0
13:00,2012-08-31,Piracicaba,61.0,45.0,45.0,18.0,15.0,0.0
14:00,2012-08-31,Piracicaba,64.0,46.0,46.0,25.0,16.0,0.0
15:00,2012-08-31,Piracicaba,71.0,47.0,47.0,20.0,16.0,0.0
16:00,2012-08-31,Piracicaba,53.0,48.0,48.0,18.0,16.0,0.0
17:00,2012-08-31,Piracicaba,31.0,48.0,48.0,15.0,16.0,0.0
18:00,2012-08-31,Piracicaba,49.0,48.0,48.0,14.0,16.0,0.0
19:00,2012-08-31,Piracicaba,80.0,49.0,49.0,25.0,17.0,0.0
20:00,2012-08-31,Piracicaba,94.0,51.0,51.0,31.0,17.0,0.0
21:00,2012-08-31,Piracicaba,91.0,53.0,52.0,27.0,18.0,0.0
22:00,2012-08-31,Piracicaba,101.0,56.0,54.0,27.0,18.0,0.0
23:00,2012-08-31,Piracicaba,177.0,61.0,56.0,28.0,19.0,0.0
24:00,2012-08-31,Piracicaba,96.0,64.0,58.0,27.0,20.0,0.0
01:00,2012-09-01,Piracicaba,100.0,66.0,59.0,25.0,20.0,0.0
02:00,2012-09-01,Piracicaba,97.0,68.0,60.0,25.0,20.0,0.0
03:00,2012-09-01,Piracicaba,91.0,70.0,61.0,28.0,21.0,0.0
04:00,2012-09-01,Piracicaba,97.0,73.0,62.0,24.0,21.0,0.0
05:00,2012-09-01,Piracicaba,119.0,76.0,64.0,28.0,22.0,0.0
06:00,2012-09-01,Piracicaba,114.0,79.0,65.0,30.0,22.0,0.0
07:00,2012-09-01,Piracicaba,91.0,81.0,66.0,26.0,23.0,0.0
08:00,2012-09-01,Piracicaba,87.0,83.0,67.0,21.0,23.0,0.0
09:00,2012-09-01,Piracicaba,121.0,84.0,67.0,30.0,23.0,0.0
10:00,2012-09-01,Piracicaba,137.0,87.0,69.0,52.0,24.0,0.0
11:00,2012-09-01,Piracicaba,173.0,93.0,72.0,70.0,27.0,0.0
12:00,2012-09-01,Piracicaba,218.0,101.0,76.0,87.0,30.0,0.0
13:00,2012-09-01,Piracicaba,178.0,105.0,78.0,60.0,32.0,0.0
14:00,2012-09-01,Piracicaba,92.0,107.0,79.0,29.0,32.0,0.0
15:00,2012-09-01,Piracicaba,93.0,108.0,79.0,30.0,32.0,0.0
16:00,2012-09-01,Piracicaba,75.0,108.0,79.0,27.0,33.0,0.0
17:00,2012-09-01,Piracicaba,59.0,110.0,80.0,25.0,33.0,0.0
18:00,2012-09-01,Piracicaba,60.0,110.0,80.0,25.0,34.0,0.0
19:00,2012-09-01,Piracicaba,64.0,109.0,80.0,20.0,33.0,0.0
20:00,2012-09-01,Piracicaba,71.0,108.0,79.0,24.0,33.0,0.0
21:00,2012-09-01,Piracicaba,77.0,108.0,79.0,21.0,33.0,0.0
22:00,2012-09-01,Piracicaba,88.0,107.0,79.0,33.0,33.0,0.0
23:00,2012-09-01,Piracicaba,73.0,103.0,77.0,34.0,33.0,0.0
24:00,2012-09-01,Piracicaba,78.0,102.0,76.0,35.0,34.0,0.0
01:00,2012-09-02,Piracicaba,74.0,101.0,76.0,37.0,34.0,0.0
02:00,2012-09-02,Piracicaba,77.0,100.0,75.0,44.0,35.0,0.0
03:00,2012-09-02,Piracicaba,95.0,101.0,76.0,50.0,36.0,0.0
04:00,2012-09-02,Piracicaba,100.0,101.0,76.0,44.0,37.0,0.0
05:00,2012-09-02,Piracicaba,104.0,100.0,75.0,44.0,37.0,0.0
06:00,2012-09-02,Piracicaba,103.0,100.0,75.0,41.0,38.0,0.0
07:00,2012-09-02,Piracicaba,93.0,100.0,75.0,39.0,38.0,0.0
08:00,2012-09-02,Piracicaba,96.0,100.0,75.0,36.0,39.0,0.0
09:00,2012-09-02,Piracicaba,136.0,101.0,76.0,45.0,40.0,0.0
10:00,2012-09-02,Piracicaba,93.0,99.0,75.0,36.0,39.0,0.0
11:00,2012-09-02,Piracicaba,77.0,95.0,73.0,30.0,37.0,0.0
12:00,2012-09-02,Piracicaba,47.0,88.0,69.0,18.0,35.0,0.0
13:00,2012-09-02,Piracicaba,45.0,82.0,66.0,16.0,33.0,0.0
14:00,2012-09-02,Piracicaba,39.0,80.0,65.0,17.0,32.0,0.0
15:00,2012-09-02,Piracicaba,41.0,78.0,64.0,21.0,32.0,0.0
16:00,2012-09-02,Piracicaba,43.0,76.0,64.0,24.0,32.0,0.0
17:00,2012-09-02,Piracicaba,35.0,75.0,63.0,10.0,31.0,0.0
18:00,2012-09-02,Piracicaba,38.0,74.0,63.0,18.0,31.0,0.0
19:00,2012-09-02,Piracicaba,55.0,74.0,63.0,21.0,31.0,0.0
20:00,2012-09-02,Piracicaba,58.0,74.0,63.0,26.0,31.0,0.0
21:00,2012-09-02,Piracicaba,57.0,73.0,62.0,27.0,31.0,0.0
22:00,2012-09-02,Piracicaba,59.0,72.0,61.0,27.0,31.0,0.0
23:00,2012-09-02,Piracicaba,83.0,72.0,62.0,37.0,31.0,0.0
24:00,2012-09-02,Piracicaba,84.0,72.0,62.0,37.0,31.0,0.0
01:00,2012-09-03,Piracicaba,94.0,73.0,62.0,50.0,32.0,0.0
02:00,2012-09-03,Piracicaba,108.0,74.0,63.0,52.0,32.0,0.0
03:00,2012-09-03,Piracicaba,101.0,75.0,63.0,52.0,32.0,0.0
04:00,2012-09-03,Piracicaba,109.0,75.0,63.0,44.0,32.0,0.0
05:00,2012-09-03,Piracicaba,108.0,75.0,63.0,48.0,32.0,0.0
06:00,2012-09-03,Piracicaba,103.0,75.0,63.0,39.0,32.0,0.0
07:00,2012-09-03,Piracicaba,99.0,75.0,63.0,42.0,32.0,0.0
08:00,2012-09-03,Piracicaba,108.0,76.0,64.0,38.0,32.0,0.0
09:00,2012-09-03,Piracicaba,155.0,77.0,64.0,52.0,33.0,0.0
10:00,2012-09-03,Piracicaba,160.0,79.0,65.0,54.0,33.0,0.0
11:00,2012-09-03,Piracicaba,139.0,82.0,66.0,45.0,34.0,0.0
12:00,2012-09-03,Piracicaba,69.0,83.0,67.0,20.0,34.0,0.0
13:00,2012-09-03,Piracicaba,65.0,84.0,67.0,26.0,34.0,0.0
14:00,2012-09-03,Piracicaba,72.0,85.0,68.0,25.0,35.0,0.0
15:00,2012-09-03,Piracicaba,69.0,86.0,68.0,27.0,35.0,0.0
16:00,2012-09-03,Piracicaba,75.0,88.0,69.0,26.0,35.0,0.0
17:00,2012-09-03,Piracicaba,132.0,92.0,71.0,31.0,36.0,0.0
18:00,2012-09-03,Piracicaba,213.0,99.0,75.0,38.0,37.0,0.0
19:00,2012-09-03,Piracicaba,132.0,102.0,76.0,25.0,37.0,0.0
20:00,2012-09-03,Piracicaba,79.0,103.0,77.0,19.0,37.0,0.0
21:00,2012-09-03,Piracicaba,57.0,103.0,77.0,22.0,37.0,0.0
22:00,2012-09-03,Piracicaba,38.0,102.0,76.0,17.0,36.0,0.0
23:00,2012-09-03,Piracicaba,36.0,100.0,75.0,22.0,36.0,0.0
