Hora,Data,station_name,MP10 µg/m³|Média  horária,MP10 µg/m³|Média  24 h,MP10 µg/m³|Índice /  Qualidade,MP2.5 µg/m³|Média  horária,MP2.5 µg/m³|Média  24 h,MP2.5 µg/m³|Índice /  Qualidade
01:00,2012-08-30,Ribeirão Preto,,,,,,
02:00,2012-08-30,Ribeirão Preto,,,,,,
03:00,2012-08-30,Ribeirão Preto,,,,,,
04:00,2012-08-30,Ribeirão Preto,,,,,,
05:00,2012-08-30,Ribeirão Preto,,,,,,
06:00,2012-08-30,Ribeirão Preto,,,,,,
07:00,2012-08-30,Ribeirão Preto,,,,,,
08:00,2012-08-30,Ribeirão Preto,,,,,,
09:00,2012-08-30,Ribeirão Preto,,,,,,
10:00,2012-08-30,Ribeirão Preto,,,,,,
11:00,2012-08-30,Ribeirão Preto,,,,,,
12:00,2012-08-30,Ribeirão Preto,,,,,,
13:00,2012-08-30,Ribeirão Preto,,,,,,
14:00,2012-08-30,Ribeirão Preto,,,,,,
15:00,2012-08-30,Ribeirão Preto,,,,,,
16:00,2012-08-30,Ribeirão Preto,,,,,,
17:00,2012-08-30,Ribeirão Preto,,,,,,
18:00,2012-08-30,Ribeirão Preto,,,,,,
19:00,2012-08-30,Ribeirão Preto,,,,,,
20:00,2012-08-30,Ribeirão Preto,,,,,,
21:00,2012-08-30,Ribeirão Preto,,,,,,
22:00,2012-08-30,Ribeirão Preto,,,,,,
23:00,2012-08-30,Ribeirão Preto,,,,,,
24:00,2012-08-30,Ribeirão Preto,,,,,,
01:00,2012-08-31,Ribeirão Preto,,,,,,
02:00,2012-08-31,Ribeirão Preto,,,,,,
03:00,2012-08-31,Ribeirão Preto,,,,,,
04:00,2012-08-31,Ribeirão Preto,,,,,,
05:00,2012-08-31,Ribeirão Preto,,,,,,
06:00,2012-08-31,Ribeirão Preto,,,,,,
07:00,2012-08-31,Ribeirão Preto,,,,,,
08:00,2012-08-31,Ribeirão Preto,,,,,,
09:00,2012-08-31,Ribeirão Preto,,,,,,
10:00,2012-08-31,Ribeirão Preto,,,,,,
11:00,2012-08-31,Ribeirão Preto,,,,,,
12:00,2012-08-31,Ribeirão Preto,,,,,,
13:00,2012-08-31,Ribeirão Preto,,,,,,
14:00,2012-08-31,Ribeirão Preto,,,,,,
15:00,2012-08-31,Ribeirão Preto,,,,,,
16:00,2012-08-31,Ribeirão Preto,,,,,,
17:00,2012-08-31,Ribeirão Preto,,,,,,
18:00,2012-08-31,Ribeirão Preto,,,,,,
19:00,2012-08-31,Ribeirão Preto,,,,,,
20:00,2012-08-31,Ribeirão Preto,,,,,,
21:00,2012-08-31,Ribeirão Preto,,,,,,
22:00,2012-08-31,Ribeirão Preto,,,,,,
23:00,2012-08-31,Ribeirão Preto,,,,,,
24:00,2012-08-31,Ribeirão Preto,,,,,,
01:00,2012-09-01,Ribeirão Preto,,,,,,
02:00,2012-09-01,Ribeirão Preto,,,,,,
03:00,2012-09-01,Ribeirão Preto,,,,,,
04:00,2012-09-01,Ribeirão Preto,,,,,,
05:00,2012-09-01,Ribeirão Preto,,,,,,
06:00,2012-09-01,Ribeirão Preto,,,,,,
07:00,2012-09-01,Ribeirão Preto,,,,,,
08:00,2012-09-01,Ribeirão Preto,,,,,,
09:00,2012-09-01,Ribeirão Preto,,,,,,
10:00,2012-09-01,Ribeirão Preto,,,,,,
11:00,2012-09-01,Ribeirão Preto,,,,,,
12:00,2012-09-01,Ribeirão Preto,,,,,,
13:00,2012-09-01,Ribeirão Preto,,,,,,
14:00,2012-09-01,Ribeirão Preto,,,,,,
15:00,2012-09-01,Ribeirão Preto,,,,,,
16:00,2012-09-01,Ribeirão Preto,,,,,,
17:00,2012-09-01,Ribeirão Preto,,,,,,
18:00,2012-09-01,Ribeirão Preto,,,,,,
19:00,2012-09-01,Ribeirão Preto,,,,,,
20:00,2012-09-01,Ribeirão Preto,,,,,,
