 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2008-2010
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"Total"
"110001 Alta Floresta D'Oeste";28870,31;37368,28;31457,86;33587,19;37748,39;27085,50;34312,65;29890,35;40079,14;37322,47;44496,32;44445,84;39815,56;39965,98;40415,39;38564,67;45582,59;45859,71;48400,48;38907,56;44482,04;52785,57;44321,03;46631,28;17422,36;21847,21;24894,70;47618,20;39390,22;123172,03;665132,92;64058,68;120010,80;85198,22;64167,98;61623,65;2286933,13
"110037 Alto Alegre dos Parecis";9203,67;11199,39;12440,50;11472,78;18963,62;10455,06;12462,73;13940,56;10700,23;9353,06;11101,04;12657,33;13649,99;11279,91;10704,48;10863,27;11372,60;12750,42;14998,70;13567,20;14100,73;10659,71;13769,03;8570,65;6083,98;6489,68;6381,05;8526,03;8940,61;8272,76;14503,08;15654,93;15882,50;17953,33;13271,41;8843,70;421039,72
"110040 Alto Paraíso";14122,22;9664,07;19357,68;11972,28;17058,62;13984,85;13805,36;27540,45;16669,12;16677,04;14931,74;13270,37;12180,48;14880,89;18683,43;27748,08;20594,24;12347,04;10745,08;18314,91;15654,91;11873,19;13912,19;14759,31;13769,14;13727,90;11855,46;13583,98;11807,10;18234,75;15825,99;22855,57;13372,01;22089,62;35246,28;18434,17;591549,52
"110034 Alvorada D'Oeste";8047,84;11086,76;14546,37;13355,87;19171,47;28448,59;29076,11;29583,83;28573,95;21352,54;25407,73;15300,31;16427,66;15984,88;21874,39;31608,78;35254,03;28112,74;22676,70;28381,28;28409,72;25841,09;17486,08;28364,47;13267,96;20502,53;17685,93;26017,34;21991,80;28179,90;21716,54;23913,35;25237,99;21211,47;24608,27;37113,85;825820,12
"110002 Ariquemes";123616,76;128959,36;140724,79;169668,85;169667,45;151654,42;162131,32;176927,12;163084,75;162260,79;136977,49;145852,94;154891,69;174436,44;198748,39;219662,57;211950,49;223482,63;245623,52;199169,19;204701,16;204161,10;196480,29;211170,27;226561,27;214543,23;210846,34;211425,82;215865,30;204666,18;253956,34;311104,44;277103,76;257183,29;414582,00;572232,13;7646073,88
"110045 Buritis";18587,56;19869,29;20297,19;29199,69;30920,83;30378,44;28523,07;26716,70;37028,80;22140,67;25093,45;27927,15;33943,40;36759,78;34839,80;43634,33;41252,10;55763,56;45816,58;40827,95;46344,26;45539,06;43256,26;46287,41;49656,92;49675,53;55259,71;55936,03;59143,26;56421,90;49841,19;58972,77;50469,90;57092,11;57440,57;52270,52;1483127,74
"110003 Cabixi";4464,11;2277,17;2243,81;3625,56;3948,77;2955,38;4773,56;3598,85;4701,15;5758,11;6023,65;4577,59;2455,98;452,10;4184,93;6122,19;5969,72;6080,58;3286,48;4559,99;4501,88;3019,81;3070,95;3960,35;6810,20;7324,40;6652,77;6015,18;5500,93;11891,27;5079,63;6318,48;5210,88;5794,21;8992,88;6637,48;178840,98
"110060 Cacaulândia";5306,03;2549,51;8316,56;8273,62;11245,26;11997,92;11289,86;7870,45;12890,70;12315,78;9522,76;9349,42;7459,49;7389,84;7453,75;9708,36;7121,61;11815,22;9101,93;9166,81;6945,55;11246,75;12449,28;9684,73;9329,62;7649,05;9419,08;10233,34;9817,03;10334,78;11185,36;14506,56;16952,90;12395,13;19493,07;14923,00;366710,11
"110004 Cacoal";167441,12;203754,40;172025,94;179406,64;192724,12;164710,76;172416,56;188878,38;167953,26;184124,37;206991,23;205267,12;180639,69;172550,04;209661,18;223471,66;218787,19;203664,91;265685,28;257245,67;293836,36;303103,51;279944,15;282534,45;235686,52;243300,28;287119,68;447812,34;307939,05;270063,29;297273,23;335775,04;309485,04;323807,13;366396,42;361296,83;8882772,84
"110070 Campo Novo de Rondônia";8831,12;10389,88;14475,24;10048,57;11960,82;11333,42;13297,62;18158,72;13253,09;16795,88;13688,20;9970,22;12038,09;18804,77;14381,03;19833,30;10790,60;9793,48;12760,33;8969,08;13194,62;12395,07;6871,59;8455,69;7610,52;9681,04;10155,04;9127,94;15019,91;14177,08;13515,15;10077,81;13941,86;6591,33;8165,40;6616,88;425170,39
"110080 Candeias do Jamari";34908,90;38395,21;34282,43;52351,12;45372,18;55671,01;41123,45;46196,25;60950,65;31337,41;44454,54;43333,08;35376,90;30421,64;38411,76;50985,64;44819,85;46458,57;45439,30;56030,02;58963,38;58120,24;54823,24;49132,74;36064,69;51080,63;46360,27;49020,83;64572,41;45442,63;54329,52;48534,43;44736,75;64101,52;69787,07;58515,73;1729905,99
"110090 Castanheiras";2374,33;3845,32;2260,89;2668,79;3599,08;5710,60;6575,87;8515,90;10032,17;7454,50;9153,01;5549,72;3541,64;2686,02;4263,59;4319,73;4226,00;4901,40;4714,29;5734,43;6743,36;7207,67;9839,67;4450,20;3892,55;2984,20;568,40;4178,47;3799,37;3556,20;2975,52;4028,36;4108,60;7412,39;5309,02;3997,75;177179,01
"110005 Cerejeiras";17353,85;15128,72;20058,09;22972,60;28816,19;27231,87;26057,77;30218,28;27201,37;24597,87;31680,33;25355,41;24342,61;34241,71;33195,85;37728,64;41397,67;42745,93;37807,08;38134,65;48698,70;42581,18;37376,06;32205,75;22819,95;31971,39;28247,95;57354,95;36119,35;36063,17;39678,23;51314,52;63524,02;59087,06;61755,47;53062,64;1288126,88
"110092 Chupinguaia";1085,77;536,84;425,31;2009,87;148,11;5256,80;730,46;4797,72;5694,72;3984,90;4244,34;1616,23;232,29;2215,15;2669,21;2743,25;330,59;6856,90;5478,37;5347,21;6987,99;774,08;5889,97;692,51;2423,56;8369,34;4864,24;5427,99;3436,82;2733,08;6235,74;5690,24;7107,35;13784,46;14120,71;11309,68;156251,80
"110006 Colorado do Oeste";23167,46;25036,98;28199,50;35518,82;25385,41;32202,14;27832,73;23912,91;18738,36;25370,49;26251,40;33424,96;37596,70;38462,69;40791,93;39041,04;37269,87;36093,08;41723,98;39207,95;33907,38;35493,80;30161,34;25465,95;20339,23;22066,62;30154,21;39869,48;36585,95;33610,68;29057,06;42148,38;49230,41;45629,89;43970,95;61261,71;1214181,44
"110007 Corumbiara";2735,54;2735,84;2984,52;3257,43;1002,74;2266,56;1802,04;1348,68;2164,18;1625,75;1160,40;1678,98;961,94;899,93;1646,31;900,37;2899,97;4502,60;5320,41;5190,68;8507,76;6007,30;5050,75;6612,72;6479,82;5333,78;5739,97;7984,05;4957,80;6733,90;5027,19;7861,16;6951,63;8771,51;8837,38;6754,74;154696,33
"110008 Costa Marques";6814,96;6455,73;6756,46;5802,40;8519,46;5084,96;8115,01;6368,56;5985,49;4436,50;7568,74;5089,41;5405,16;15987,56;6597,24;9662,91;7327,98;8888,63;2699,46;8117,81;6717,36;5485,51;4978,20;5862,46;2015,90;3265,42;2480,70;1503,44;3179,74;1837,11;5275,76;3422,35;1087,18;4831,32;7417,37;9332,53;210376,78
"110094 Cujubim";3879,07;4680,12;2205,83;8758,02;3877,02;3665,25;3201,42;9839,95;13233,62;11018,65;8621,12;6643,02;5848,48;6359,89;4487,88;4887,82;6867,99;7602,08;6127,63;7375,65;5001,74;4972,75;14116,71;5523,07;1884,79;1789,95;2366,79;4509,10;5275,19;4294,77;2657,53;7889,33;16264,56;15541,83;13256,28;13866,90;248391,80
"110009 Espigão D'Oeste";16689,97;19551,88;17704,61;15786,49;20153,14;21391,78;22944,96;31551,75;23399,53;29793,41;39820,13;34869,12;21450,69;34669,17;42205,98;45451,31;42008,42;39564,77;40214,97;39438,51;35089,48;48920,89;29567,03;34499,65;26444,47;37067,11;32461,87;60431,06;33400,81;28607,26;150480,20;274143,95;74703,90;89608,90;40660,52;45252,39;1640000,08
"110100 Governador Jorge Teixeira";8761,24;7087,00;6846,72;8261,73;14140,97;8487,25;14713,41;15975,06;8260,21;11308,18;14714,80;9917,20;11510,28;6167,72;15626,44;14534,31;13480,18;12633,21;5681,62;7773,27;12588,05;14933,71;10773,78;8651,09;12253,76;5880,27;19080,09;15403,59;10251,32;13117,63;10621,68;18408,77;12973,28;15756,03;13362,87;19689,77;429626,49
"110010 Guajará-Mirim";30195,32;42407,11;38293,61;37798,81;35242,99;49309,90;55881,06;66564,38;64878,50;56148,36;56464,04;54812,17;65513,29;64711,13;63252,95;57696,59;66890,06;64419,08;65405,66;64826,06;60976,09;48591,06;60375,43;57622,55;68427,09;63900,13;67927,72;74130,59;94976,65;88518,06;82674,81;81025,88;80761,40;85015,02;85959,33;81578,55;2283171,43
"110110 Itapuã do Oeste";3152,24;5957,83;9851,48;6963,17;6416,71;7481,20;9876,60;12164,05;7013,97;8090,47;6679,90;5719,16;5955,45;6614,27;7073,40;9673,31;7257,10;6532,70;9331,67;12718,36;13275,21;10045,41;8923,71;9738,33;7537,58;9559,77;6860,14;6753,95;9645,38;12253,73;8834,34;10592,24;9147,13;21497,68;11835,38;16966,71;327989,73
"110011 Jaru";63838,23;68786,60;76168,87;77745,91;81474,85;78630,96;89179,69;85943,92;90129,87;73568,76;64801,54;66889,95;78798,22;73598,10;76223,53;77423,32;79841,02;76611,40;94333,70;101043,71;80194,85;122098,25;92480,44;85560,99;95218,07;92450,31;115126,87;107055,58;121809,50;126712,65;124640,75;134390,15;156609,14;121267,50;134190,57;115800,74;3400638,51
"110012 Ji-Paraná";144164,08;142635,36;160109,66;182432,88;211547,24;179030,74;183163,83;199497,45;193196,24;178304,02;215859,00;228957,79;215808,56;208985,22;208572,56;271348,84;279740,99;255398,75;241743,80;268834,13;298025,14;299433,59;265669,46;289039,56;263121,63;247395,61;215101,07;301498,54;429305,73;339352,27;249503,44;323210,69;431373,92;706596,65;921147,21;427730,44;10176836,09
