 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2011-2014
"Município";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;52391,52;65807,10;73223,31;75365,24;57491,64;94699,00;75628,30;86220,26;66955,29;58775,82;58676,22;63141,68;45027,58;72928,67;93501,32;94323,59;110886,82;139699,91;100187,51;100296,08;76436,06;117077,71;100316,35;105528,91;60301,32;61489,86;76015,78;82330,95;68513,42;62688,63;62679,56;76157,08;79946,84;89979,71;107707,62;111129,90;66339,39;76894,25;92247,50;99017,25;103583,61;95344,94;81406,37;81272,99;102014,42;122484,88;116072,56;115291,25;4075495,97
"110037 Alto Alegre dos Parecis";-;-;-;8376,55;13526,99;12661,38;10072,97;14500,20;18353,08;14013,11;14257,45;17672,08;14158,72;10530,58;12791,01;19398,75;21339,22;16040,65;18294,38;23756,03;26056,55;22616,23;17426,80;24576,18;23604,82;19217,89;22460,42;15306,06;15718,53;19105,66;29789,68;47189,37;26395,82;20769,40;19970,19;26489,80;25080,74;37113,11;36981,41;9283,53;31906,63;16819,02;26380,07;32770,14;30116,66;23016,76;32365,56;21120,82;27032,66;39063,70;46505,47;1071992,83
"110040 Alto Paraíso";-;-;187,04;20709,96;21296,44;22546,12;18072,85;22067,40;22411,99;40877,56;29714,14;23493,87;29646,61;35053,52;21621,96;27232,22;29814,62;38179,04;33655,98;41854,24;42719,77;54022,44;47710,51;42395,74;37167,96;31697,20;44668,71;30742,04;38598,84;47665,66;47304,35;42168,33;44114,92;49176,45;45831,89;50519,06;68586,98;61862,20;51475,46;35242,34;44381,08;44684,42;46856,16;49874,97;41952,75;47799,47;29292,29;36903,78;30966,90;36816,01;38967,66;1840601,90
"110034 Alvorada D'Oeste";-;-;-;24668,19;28749,84;26996,27;27988,38;27849,57;25316,87;28483,19;21998,61;24124,88;24262,86;23482,29;22647,04;30088,14;28593,37;40597,98;38018,00;30749,81;28788,87;47490,21;60559,40;58901,95;70820,34;46646,57;48581,87;39909,25;35192,89;21539,59;21396,62;31848,33;34994,12;33586,04;33803,39;38785,47;42312,21;36200,68;43270,86;49899,60;40436,18;50223,98;52956,88;52080,37;38831,54;52978,55;40543,87;46399,34;62299,08;52257,44;52376,69;1840527,47
"110002 Ariquemes";-;800,00;2253,75;477816,86;247909,70;264796,08;280841,68;304938,84;326082,60;354855,47;318683,42;291743,00;250400,40;258250,55;258731,27;241399,32;268377,23;381948,94;374487,63;403713,07;384615,81;399117,21;444487,53;306420,28;303279,08;284030,58;337261,70;378546,77;398712,22;391759,82;368909,05;395133,20;374370,85;372143,91;358400,36;329888,64;421761,41;398008,63;351067,87;290679,05;410951,22;450231,17;388943,00;380204,93;423789,81;368841,28;339076,49;367039,30;359191,52;449904,59;367446,39;16902243,48
"110045 Buritis";-;-;-;52652,18;67059,91;65706,82;65421,24;58073,70;55111,55;61916,00;56525,30;59866,32;56768,10;59693,23;59907,82;57168,20;71021,70;70713,25;58334,24;72192,41;74540,80;82615,03;64792,28;52101,48;72529,99;62471,26;57394,74;69887,16;82793,14;40902,60;43955,77;64913,50;69638,47;76899,10;80371,28;54720,52;60571,70;80071,77;68518,31;91531,01;79827,23;107487,07;115862,94;165743,18;295853,60;334722,48;333588,00;120849,04;100973,82;138057,17;104856,38;4297172,79
"110003 Cabixi";-;-;-;4515,17;5194,37;5538,01;6790,97;11510,06;12227,11;10018,19;6600,51;7806,92;9789,55;5746,00;12571,73;9711,21;9005,58;15892,22;13581,90;16511,54;29061,69;19164,97;23000,45;12373,00;15013,97;17243,10;14279,37;12284,13;23375,78;18545,98;21323,36;26439,15;25645,37;36926,32;23951,16;21957,82;21413,44;20389,96;22516,58;18468,67;12531,98;8872,11;13585,22;11733,47;22032,00;11985,60;14340,27;15894,62;31275,31;17903,61;19156,30;765695,80
"110060 Cacaulândia";-;-;-;18793,83;15966,84;17612,32;19525,31;18270,39;15255,08;15200,73;6094,77;9427,08;6391,29;8412,95;10387,09;8091,20;5409,85;21087,54;16834,24;22111,31;19335,14;20975,65;26051,48;9001,65;18799,08;16818,19;19346,61;24203,74;10972,73;19712,74;20287,88;15344,97;16263,00;35173,36;24415,51;15162,13;18479,43;37145,09;15356,65;14191,71;16016,36;22922,60;19121,78;19757,79;15321,87;19116,65;21363,02;29393,19;36541,32;25663,44;19236,98;876363,56
"110004 Cacoal";240,00;-;1338,55;312110,15;342486,68;396552,01;374679,56;399355,62;406048,30;446587,56;396977,40;364788,57;366062,70;306741,77;323449,25;329474,76;366626,23;404364,19;300405,87;349592,93;315590,48;337128,42;412968,98;339452,22;381099,86;333135,03;377067,17;379954,11;406221,24;329468,14;275078,85;256716,64;271440,56;313933,16;272054,21;331459,12;462462,63;409433,90;345263,40;254922,46;315538,43;311539,02;369900,04;381387,60;404824,06;363193,15;425370,75;451572,07;444884,42;460373,60;438037,94;17359353,76
"110070 Campo Novo de Rondônia";-;-;-;7583,72;11533,75;9165,06;9932,11;10708,13;17676,77;18523,37;12557,73;11933,70;11796,35;11477,15;12465,73;11199,51;10446,97;14949,57;21057,57;30887,54;29284,13;18793,49;23169,61;17690,02;27295,11;28083,62;23147,17;23078,62;24145,53;21525,02;21706,24;23558,00;21615,26;22680,64;21274,40;22481,60;22129,21;29836,78;16790,93;13243,83;14524,99;18630,31;18437,92;11380,93;14441,08;23972,35;14052,80;5590,52;11051,40;25440,35;19613,27;862559,86
