 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;116512,65;125800,35;127418,46;104257,73;137546,96;117202,39;105999,16;154018,63;109212,22;75344,14;95388,98;119690,55;91106,43;88213,40;137709,78;126454,61;130614,01;113782,60;95631,97;98207,40;119618,02;142005,99;115341,50;145815,13;123816,23;97805,38;93457,56;105690,93;90304,96;92128,66;121386,99;99371,71;120394,95;120256,82;101541,92;90229,05;4049278,22
"110037 Alto Alegre dos Parecis";-;-;-;43081,51;43471,48;36257,05;42878,32;49949,88;37076,72;61965,65;60648,63;47779,14;34719,64;52618,41;61858,10;53675,29;48892,64;44141,28;47219,36;49190,40;65841,30;48703,05;48538,04;60697,03;51002,35;54102,15;51858,61;53010,30;38378,94;38529,57;41266,70;53447,55;52305,63;45403,86;65218,35;52093,56;53083,44;46334,22;41030,58;1776268,73
"110040 Alto Paraíso";-;-;-;29442,32;29784,34;45623,78;56363,97;42965,16;41015,67;42061,71;50874,69;35697,17;42434,26;45470,54;35940,63;51499,01;52640,06;67126,74;48241,95;44453,08;46724,91;53770,80;65375,37;53791,64;52601,95;53217,07;63261,92;77995,59;41335,42;57123,16;36101,10;65584,80;53475,58;54399,07;59582,57;52332,62;39506,31;43017,69;60833,03;1791665,68
"110034 Alvorada D'Oeste";-;-;-;57204,54;49387,44;33527,62;42102,13;48935,28;48021,11;53299,88;69557,54;53407,04;77843,81;49399,50;60886,63;56831,03;37252,19;55095,50;48778,32;45947,43;43378,60;43463,53;55905,10;51588,48;57335,45;49257,32;40596,00;44628,88;36190,66;38403,93;30775,87;36380,41;43617,50;44931,46;34457,98;31379,56;38501,17;43384,50;55170,53;1706823,92
"110002 Ariquemes";-;83,47;-;428873,86;408361,08;381232,40;493520,11;334874,53;459374,87;507207,13;445653,41;393539,92;373379,77;446311,84;456984,71;477880,62;460990,46;580309,76;505308,87;456264,60;482844,87;430727,10;478538,68;580701,16;458160,79;391390,60;463461,43;442885,16;336085,30;454915,47;437009,27;430597,81;427445,37;493397,22;418200,85;384315,24;452544,98;507861,60;508367,44;16189601,75
"110045 Buritis";-;-;45,00;114548,26;109693,15;128091,70;101820,99;99394,86;98523,89;110911,39;101936,34;73711,31;87232,88;108757,37;149252,12;73724,25;103015,60;146024,78;103888,74;98289,81;118776,87;76289,21;127166,55;140775,06;106131,77;96844,63;136928,41;102231,62;75303,84;88069,43;96441,87;106539,32;90379,74;97046,55;90969,30;89909,22;81095,45;82316,77;114620,21;3726698,26
"110003 Cabixi";-;360,00;180,00;16707,98;11766,47;24099,54;29329,75;15055,51;17396,80;27075,32;30774,34;22441,60;22137,18;22747,55;15348,57;14284,49;16733,94;30733,22;25779,12;26228,38;20885,67;22447,51;33621,68;37281,30;19314,15;19224,21;27024,06;22946,10;22561,43;26323,36;14169,98;22044,43;18970,76;21285,46;22638,05;30491,13;21457,97;19311,32;28522,44;819700,77
"110060 Cacaulândia";-;-;-;27772,91;24089,46;17252,59;19831,83;29270,86;19367,55;43784,52;18058,32;18892,94;32423,19;22739,04;32175,71;17565,18;21267,18;26346,50;19425,42;24827,52;31944,93;29192,96;16390,25;20326,98;19901,65;19169,87;26036,46;28944,13;17683,25;21646,21;14935,12;31290,84;15281,97;16383,32;19047,15;14981,04;18588,08;32446,84;28904,52;838186,29
"110004 Cacoal";-;-;178,94;544817,69;489151,82;520107,09;524464,88;553740,63;612255,67;545308,93;642042,38;553563,82;485036,81;610398,15;643373,00;503851,22;566183,05;672546,11;663387,28;594110,14;657100,11;567171,83;631451,27;694910,02;633912,43;601791,18;645318,02;585576,43;557715,07;583349,89;505522,71;520882,31;537649,31;565014,11;590254,90;486610,37;501154,23;538784,50;544380,11;20673066,41
"110070 Campo Novo de Rondônia";-;-;45,00;24484,38;18812,34;12047,77;19791,20;36652,93;29740,34;21989,41;20298,12;26056,51;12799,35;24972,96;34196,21;29440,29;31923,06;48123,89;27659,40;41118,94;23508,16;29587,48;31770,99;23170,68;21456,49;27333,56;29065,96;38303,07;23255,69;48991,38;41645,53;53641,52;38190,77;54019,27;38057,05;31901,10;43212,99;39892,83;50055,35;1147211,97
