 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"110001 Alta Floresta D'Oeste";-;-;2742,24;112640,89;122958,34;114478,06;87201,69;97936,90;103128,27;127542,87;87369,08;95509,00;139912,71;116086,48;124021,14;186641,24;127468,40;96046,71;110761,62;96644,66;127271,85;132599,44;128974,41;129621,92;111353,49;126925,13;115007,36;2820843,90
"110037 Alto Alegre dos Parecis";-;-;135,00;55822,59;41686,80;48794,98;48616,74;42674,00;41610,06;42658,18;42206,17;49430,26;50056,57;53233,97;50373,73;60625,96;57691,19;30312,25;38967,31;46808,48;45773,77;47664,54;50302,81;51572,92;55014,63;57554,85;41886,55;1151474,31
"110040 Alto Paraíso";-;-;-;65253,04;60303,60;63033,85;62267,51;53928,70;50471,30;50734,70;54663,40;34961,15;46418,60;58213,38;64506,80;90215,56;75096,21;54077,05;71274,10;54279,99;58824,91;38829,93;67050,97;70631,39;66160,47;76440,90;52530,69;1440168,20
"110034 Alvorada D'Oeste";-;-;288,43;34869,17;44258,17;49973,91;52799,33;47468,06;43791,09;44230,18;36587,98;43927,71;58928,74;42640,97;51718,19;49132,59;64839,06;44098,49;64954,35;99505,35;48370,84;52286,87;47519,37;43310,90;40204,60;48303,16;32340,04;1186347,55
"110002 Ariquemes";-;706,98;1899,44;522953,14;501388,42;557289,72;621735,51;551944,94;577507,16;553734,09;583689,64;597914,23;605492,18;541924,23;686362,69;755432,28;788148,09;606748,20;603921,54;614837,47;601428,28;756140,68;668537,81;685151,90;633995,62;616802,87;596981,27;14832668,38
"110045 Buritis";-;-;-;114314,46;128880,59;139199,35;137763,29;133839,54;137816,29;113756,73;112688,30;114086,14;106786,16;116953,99;150049,19;191420,25;166022,17;113003,59;106095,67;124032,69;116905,26;178129,83;143598,70;136365,31;148341,53;200486,75;123509,70;3254045,48
"110003 Cabixi";-;-;1505,32;25928,58;22751,61;27268,54;47602,35;24576,76;29173,97;38023,71;32620,10;26455,49;27601,50;29974,83;38384,69;37438,06;47850,43;38218,38;31639,92;46708,33;36918,04;36644,82;41709,33;36700,48;23754,38;29005,50;20585,84;799040,96
"110060 Cacaulândia";-;-;-;33478,05;27484,30;26446,05;35925,97;36121,57;26108,07;26942,77;26865,73;18778,00;31423,21;22367,56;22318,24;43818,62;25347,00;31662,05;33075,93;28518,07;24882,61;28837,03;37273,18;28179,52;24490,13;29794,20;27360,51;697498,37
"110004 Cacoal";-;2254,68;10402,28;508901,02;537727,59;554382,98;545719,56;543556,34;525335,64;566180,86;546634,80;548477,21;691622,65;617565,94;642777,86;740022,11;730390,60;576863,76;590791,09;600076,30;632844,58;553555,61;680299,75;609693,98;632180,02;630437,74;487235,65;14305930,60
"110070 Campo Novo de Rondônia";-;136,41;-;57625,37;44594,89;48736,12;53354,28;48035,82;46815,99;56256,25;66447,62;53351,75;56425,51;57583,92;50643,53;67432,95;81948,21;50970,83;66192,83;46881,75;42073,71;55433,33;52771,27;63227,75;64931,19;62033,98;61470,10;1355375,36
"110080 Candeias do Jamari";-;1530,76;33,87;174528,69;193346,86;180168,83;142731,34;188757,37;152262,64;162640,18;169877,41;160313,63;196097,44;179283,25;181510,91;201345,77;266121,75;155308,34;197407,59;185092,32;190287,30;234381,14;218636,74;233908,31;191923,25;216994,94;143653,85;4518144,48
"110090 Castanheiras";-;-;-;9836,15;7204,14;9058,54;9343,59;2904,78;5823,32;5735,28;12749,87;12849,10;9278,03;16880,24;19406,46;22857,84;17694,46;12702,86;11372,74;8307,59;21574,69;15404,64;14301,62;15355,42;10555,04;14930,55;11662,40;297789,35
"110005 Cerejeiras";-;-;1889,75;71857,26;82220,88;81910,17;66256,18;81886,64;121612,76;83289,52;75702,50;66654,44;82468,26;83679,16;79703,08;121396,82;115398,44;90650,22;67316,42;73405,78;73498,89;64796,54;75492,51;77717,53;89369,53;80015,43;70391,26;1978579,97
"110092 Chupinguaia";-;-;537,50;24848,42;20641,94;28145,42;32797,78;29176,09;34194,65;29318,98;24101,54;31766,60;25007,72;27891,24;29731,86;33026,18;19018,19;31261,86;33732,50;38620,12;23309,46;27245,01;32563,27;29913,32;26438,84;33088,63;34306,15;700683,27
"110006 Colorado do Oeste";-;791,59;1657,27;102769,94;89274,78;85466,62;79800,39;119096,88;71720,28;74011,94;72529,04;72828,21;91868,60;83812,02;96444,99;105912,60;131664,50;88079,03;98151,59;79322,25;79301,41;72766,74;86332,15;83212,93;115963,13;124816,58;102423,35;2210018,81
"110007 Corumbiara";-;-;135,00;26061,83;21394,74;72363,30;20722,93;24777,38;20766,20;24010,34;18387,05;22291,00;34807,02;31994,48;29050,27;22286,17;27885,40;34334,45;25514,62;16170,53;11330,01;7159,74;17069,63;12111,01;13216,51;21040,30;11503,76;566383,67
"110008 Costa Marques";-;-;136,41;15640,94;13259,47;19877,93;21622,30;11425,90;19087,36;18584,64;24075,35;29041,89;25008,50;25576,07;19035,84;27078,45;25259,30;29244,07;38254,28;27714,16;26606,70;24829,00;27270,57;27686,22;26303,57;32265,58;19362,07;574246,57
