 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"110001 Alta Floresta D'Oeste";367,78;8184,98;24105,70;146350,81;139333,27;117568,98;70323,52;65848,57;97104,00;85401,58;74868,58;829457,77
"110037 Alto Alegre dos Parecis";123,61;3889,00;975,07;43152,40;47875,50;49385,30;30306,77;34508,04;28037,18;26572,10;29718,72;294543,69
"110040 Alto Paraíso";2062,53;11637,91;6532,97;75869,49;62787,22;69784,59;52373,39;45794,95;57583,48;63689,71;51011,07;499127,31
"110034 Alvorada D'Oeste";2317,22;2205,30;7583,04;39414,69;38270,75;41909,81;32553,02;42936,20;38908,28;55639,69;26198,86;327936,86
"110002 Ariquemes";3620,06;63506,44;118123,70;665210,85;578009,80;595374,08;442528,30;460718,08;483731,19;460964,43;440102,67;4311889,60
"110045 Buritis";1296,12;11396,66;9995,37;167667,87;143598,11;249329,49;104476,36;104042,53;123211,89;125353,88;123175,63;1163543,91
"110003 Cabixi";-;278,75;626,93;30558,40;32927,22;19542,34;21140,95;74272,54;39994,52;38518,53;21257,57;279117,75
"110060 Cacaulândia";1131,60;5586,15;2972,21;27272,55;29675,66;38845,34;18107,49;14408,37;14589,72;14514,16;21214,27;188317,52
"110004 Cacoal";27563,14;67470,14;109516,02;631764,15;581710,77;565731,13;452985,72;511325,45;466619,39;444052,87;484994,38;4343733,16
"110070 Campo Novo de Rondônia";1950,00;5807,80;4273,94;62114,73;58724,63;48204,31;45903,79;40541,91;33274,09;36118,43;29533,32;366446,95
"110080 Candeias do Jamari";5046,79;23504,61;64049,04;198117,89;195102,21;212926,09;138848,84;143726,92;188149,67;177434,91;112745,39;1459652,36
"110090 Castanheiras";367,55;1611,45;686,49;20509,82;16952,24;8749,44;5214,15;2907,02;2208,56;3694,02;9337,74;72238,48
"110005 Cerejeiras";597,87;3886,34;8782,89;82545,58;76125,90;82391,57;57978,92;58136,59;66488,71;72216,27;63453,99;572604,63
"110092 Chupinguaia";1137,78;1795,12;1326,37;38138,93;30262,43;26456,76;27630,57;26257,15;26715,03;28624,00;29803,57;238147,71
"110006 Colorado do Oeste";564,65;5081,46;7730,04;138836,89;138403,60;108593,05;74887,85;75853,64;73559,13;92035,84;73302,07;788848,22
"110007 Corumbiara";-;10,00;1429,34;20083,49;13579,00;11684,53;13359,82;8707,17;11942,14;19572,86;8280,37;108648,72
"110008 Costa Marques";1791,97;6961,00;10082,28;31687,20;22024,43;14546,67;14422,87;16588,95;8552,46;17731,01;8576,57;152965,41
"110094 Cujubim";1531,68;5200,17;11585,05;33850,80;38188,26;31414,55;27965,66;20121,29;21915,44;23597,43;24484,38;239854,71
"110009 Espigão D'Oeste";2610,90;7649,20;32801,50;103549,65;150925,58;118561,94;117893,85;92947,56;103708,30;107930,91;100791,00;939370,39
"110100 Governador Jorge Teixeira";40,32;926,21;3092,35;18417,40;24848,15;33523,60;24557,04;22425,89;20106,36;23947,42;27157,42;199042,16
"110010 Guajará-Mirim";5445,23;14377,49;33480,62;135329,63;140962,61;149273,65;119355,29;103983,74;98707,34;120762,29;89484,07;1011161,96
"110110 Itapuã do Oeste";79,11;2086,12;7781,59;68537,94;76526,96;61643,73;51847,76;36091,46;45752,81;52618,13;48517,12;451482,73
"110011 Jaru";1687,48;32373,41;83036,35;282144,84;290496,82;266199,35;171618,70;186184,98;180634,24;229272,15;140993,74;1864642,06
"110012 Ji-Paraná";15881,32;68229,85;117586,71;672118,47;588098,52;662103,43;516437,05;581170,98;563104,03;579005,80;473926,81;4837662,97
"110013 Machadinho D'Oeste";1047,84;8523,27;25705,55;114585,22;122135,94;112251,81;56446,29;75456,23;78589,13;101756,24;63523,08;760020,60
"110120 Ministro Andreazza";201,29;2751,43;10300,57;22540,72;23445,95;26201,62;31729,54;24954,97;22354,32;24333,36;25523,47;214337,24
"110130 Mirante da Serra";199,74;2414,99;12965,04;87259,05;70693,53;81123,84;49554,33;64677,34;56038,46;63380,77;48723,85;537030,94
"110140 Monte Negro";2293,71;5974,52;5226,68;69619,02;57532,11;57216,48;48527,11;40820,53;49273,74;66400,92;59957,63;462842,45
"110014 Nova Brasilândia D'Oeste";2350,70;17533,65;27496,94;81813,44;75253,54;70319,58;49660,59;57726,54;53715,95;60540,91;61324,96;557736,80
"110033 Nova Mamoré";2334,56;6096,88;14952,09;79446,44;120001,63;88036,52;41009,02;58304,28;66175,08;59482,40;48292,65;584131,55
"110143 Nova União";589,28;322,76;10023,59;39611,53;33937,82;37718,42;37019,64;33843,57;39434,32;41765,42;31636,36;305902,71
"110050 Novo Horizonte do Oeste";435,79;2607,52;9394,62;39126,08;31032,97;34511,35;22749,24;22759,00;18781,02;23626,98;27796,22;232820,79
"110015 Ouro Preto do Oeste";3482,79;22666,46;65509,55;237244,64;227274,26;219877,88;195189,79;206127,54;177938,58;205468,31;154180,88;1714960,68
"110145 Parecis";1133,25;824,76;30,00;10732,09;5109,46;3648,43;2495,58;4139,17;7501,17;7355,46;2382,10;45351,47
"110018 Pimenta Bueno";1607,15;9256,60;27111,12;176977,86;180003,97;204002,84;135760,27;126446,71;126909,04;137742,34;158568,48;1284386,38
"110146 Pimenteiras do Oeste";-;1375,34;2502,58;21167,65;14965,11;12175,27;10894,36;12206,53;8909,82;14957,49;11267,85;110422,00
"110020 Porto Velho";158793,18;311258,21;726731,30;3757014,94;3738232,15;3492160,14;2619875,02;2351938,47;2572394,25;2922645,85;2036538,24;24687581,75
"110025 Presidente Médici";5284,63;6822,70;11165,85;103338,62;88825,77;97807,29;73293,90;67738,68;61535,84;86321,63;79806,53;681941,44
"110147 Primavera de Rondônia";17,10;5359,60;2320,61;10654,41;14018,29;5961,05;11177,71;8287,53;11323,45;6116,29;4883,90;80119,94
