 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Valor serviços hospitalares por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2008/Jul";"2009/Jul";"2009/Set";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;-;-;-;-;550,09;3469,14;13345,37;5714,26;584,68;-;398,14;943,02;-;3111,35;1114,60;13960,54;175,12;2166,43;159,12;7129,56;37162,34;7737,29;17469,77;3162,04;2595,94;2615,31;1370,17;415,56;6338,75;-;574,35;1293,81;870,52;1101,56;-;1234,78;355,56;9729,98;733,54;1043,88;4703,33;26660,15;1503,93;19909,91;1488,19;2190,38;3603,58;1056,84;13500,26;1332,11;684,53;28173,19;7777,70;5906,00;2987,59;21254,93;5610,40;19806,77;3855,70;10904,81;21585,17;24084,62;12047,69;159,12;2238,04;-;1148,58;-;1229,06;2460,71;8181,26;12080,82;159,12;-;159,12;-;614,53;20793,91;6176,88;5661,03;451,47;159,12;9502,17;6747,44;5704,37;381,16;5223,25;812,07;2648,01;17537,44;1609,78;224,75;1819,59;4939,08;1449,38;20982,98;35343,16;3318,37;7163,96;626,59;25372,25;5479,71;6323,66;20521,46;6634,65;22682,12;29595,87;14885,47;708455,86
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2353,69;10303,66;-;-;1004,08;-;-;-;-;-;-;-;2300,36;-;-;-;-;-;-;1612,61;-;-;-;5569,58;17267,52;-;-;-;-;-;-;3055,29;-;-;-;755,11;-;-;949,57;11815,57;2747,73;-;12208,73;-;-;7310,92;-;3533,09;-;-;903,79;2076,25;-;886,86;3075,15;421,30;-;-;-;-;-;713,20;-;1393,86;-;-;-;686,72;-;-;1357,68;-;-;586,42;-;-;-;9171,94;-;5301,53;-;-;2266,07;-;-;-;11391,44;1832,19;-;-;-;-;1109,33;-;-;-;-;-;-;-;125961,24
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;315,37;1604,43;2335,06;19611,63;838,06;614,53;2227,17;1050,00;1230,30;685,70;9032,34;1683,95;15069,75;5541,39;630,53;23416,42;23916,34;15278,69;15744,55;18869,52;15377,59;9768,14;11379,24;10570,03;7466,69;24667,02;10539,56;20825,26;7744,70;5936,61;98,82;3300,56;2714,73;3361,80;-;24227,88;3504,41;617,58;2368,75;28358,71;8624,19;12880,52;1830,13;2335,58;11065,76;1568,29;5367,48;3310,63;3650,39;1087,17;-;15384,97;649,50;8696,98;4397,47;20151,27;25640,60;69,05;6189,83;3879,75;8267,84;12959,91;874,33;-;390,95;2890,70;504,13;1604,00;638,47;-;2809,79;7146,04;3378,56;13325,86;3747,80;10213,23;3662,29;1887,79;10885,26;10418,28;-;2523,13;14475,49;29623,60;4639,56;21529,43;1462,14;4029,93;10891,72;1206,43;842,58;1010,00;1837,76;1179,39;13518,04;16391,18;7989,20;1632,78;8250,66;1161,88;705,88;11443,46;2299,63;7604,88;-;751157,35
"350040 Águas da Prata";-;-;-;-;-;-;-;-;-;-;-;-;5725,88;5494,65;4563,91;-;6322,89;-;-;7787,04;-;1509,27;-;-;4381,08;-;1542,25;-;1513,16;-;-;4875,18;962,13;6871,30;-;-;833,00;-;613,57;1433,55;424,19;-;-;12428,07;-;-;-;475,47;-;-;-;467,47;-;-;71,17;-;13366,18;1103,86;1319,38;614,83;918,32;-;-;451,47;-;-;-;23517,22;1638,86;-;6556,62;657,33;-;-;-;420,91;-;-;5077,87;904,21;-;-;-;30486,70;-;459,47;640,52;1408,79;1009,51;3370,32;-;19997,15;1078,26;-;6646,40;-;-;795,92;-;-;-;130,40;-;1449,07;-;1149,80;1642,05;459,47;14713,31;-;-;-;3785,03;-;95,17;-;214159,63
"350050 Águas de Lindóia";-;-;-;-;-;-;-;-;-;-;-;1351,79;2032,94;49548,39;212,62;-;1627,33;4647,60;1029,54;1647,32;1115,50;16274,26;2398,41;2426,80;-;105,10;264,22;167,12;4426,63;14006,90;1451,72;599,06;2032,94;19228,95;3162,05;4924,76;8754,79;812,34;6510,99;6638,31;-;33680,48;1833,99;598,53;7139,67;1179,83;1082,00;1164,33;797,65;1452,24;3603,49;7872,62;6588,41;614,53;8391,52;932,93;-;43,65;1176,85;610,75;-;677,20;677,20;4167,21;1097,84;422,15;-;-;101,90;511,62;492,44;1905,01;-;633,03;807,04;575,50;7989,76;103,17;5372,72;1437,85;6422,72;1023,19;-;5768,54;1032,83;7025,42;-;200,46;11852,27;25326,43;10680,00;17327,74;736,67;-;2247,92;10511,32;3605,92;-;15977,72;3440,67;4005,14;9369,87;5193,25;159,12;3772,34;12598,63;915,03;4710,30;7606,30;2779,37;301,36;-;16009,73;34873,56;12895,36;43,65;501546,32
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;159,12;-;-;-;-;-;-;809,06;71,17;-;-;22032,91;-;21307,82;-;-;-;-;-;-;2780,85;-;-;175,12;-;-;-;-;537,41;2573,90;1233,03;1012,26;179,79;-;97,00;-;-;-;677,20;-;-;13429,49;199,31;-;8914,23;-;9044,66;159,12;-;46,31;1205,06;3647,41;605,77;1098,94;598,53;-;159,12;-;-;-;-;159,12;-;-;1853,16;-;1006,39;159,12;635,72;-;-;-;-;-;-;-;-;-;6431,73;473,02;-;-;9679,01;-;-;-;-;-;-;-;-;-;105,10;1278,46;451,47;901,96;-;-;1278,37;-;-;-;117167,22
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;-;-;-;1460,23;-;-;-;-;-;-;-;-;-;-;-;676,97;-;-;-;977,89;-;35,65;-;-;-;-;-;-;-;-;735,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;861,35;-;-;-;6032,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382,95;-;-;-;-;-;-;-;625,16;-;893,81;-;-;-;-;-;-;-;-;-;-;3416,37;-;-;-;-;-;33,34;-;-;-;-;-;105,10;-;16237,02
"350070 Agudos";-;-;-;-;-;-;-;-;-;-;-;-;20553,12;2110,21;988,28;14886,73;11182,56;9834,65;-;663,50;4254,63;7350,66;3423,44;159,12;-;851,24;-;376,19;933,06;13917,60;15168,70;-;451,47;1806,75;3442,60;487,50;8832,16;6937,22;417,91;5681,08;1655,51;3678,06;268,10;1769,17;488,60;1076,79;1266,75;7888,71;5283,11;926,94;25529,22;16664,63;503,12;1311,88;2756,24;8569,13;1095,76;2933,78;3803,55;3808,12;853,54;-;352,19;9589,87;2609,45;11550,85;5542,99;7854,27;1022,79;4633,23;3271,57;7290,43;3204,80;5186,66;492,81;7886,80;19443,48;17562,01;1744,64;1428,82;2674,56;17985,71;18113,72;6496,41;14448,88;5034,81;239,75;9387,82;6282,01;6781,36;2961,22;15002,50;7246,86;-;18005,99;2068,86;1647,41;15415,61;2699,32;15577,39;18734,77;1829,73;2269,48;6369,61;855,46;11297,33;609,51;23949,66;22047,73;4777,13;8280,53;1992,28;26571,23;14086,85;3064,47;3514,53;655829,24
"350075 Alambari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;371,51;-;-;-;-;-;521,47;-;475,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5462,63;1434,72;-;-;503,50;-;-;4748,79;-;-;-;-;-;-;-;-;-;-;-;-;5636,92;-;-;-;-;-;-;6095,11;-;-;-;43,65;-;-;-;475,47;-;-;352,19;-;-;-;-;-;8216,37;-;-;-;-;-;-;1927,96;-;-;-;-;-;529,47;15446,85;-;6250,80;-;-;-;-;-;-;-;-;459,47;-;58952,35
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;-;-;-;-;-;7509,38;-;-;-;-;-;3768,31;-;916,22;-;-;-;-;3441,39;547,06;-;-;-;6976,52;-;3634,69;-;4665,96;-;-;1564,47;-;69,36;-;-;-;-;507,41;-;-;850,78;-;-;-;127,55;-;1370,21;-;2762,80;515,47;-;991,14;26951,71;-;1364,97;-;-;2457,76;-;-;-;9368,02;8674,42;-;-;-;-;748,57;3384,26;2133,91;1784,18;-;-;1836,04;1755,54;-;-;-;-;1572,67;-;-;-;-;-;3388,55;987,02;-;740,07;1755,58;1098,68;3128,06;-;-;-;1107,10;-;-;-;-;-;-;265,45;-;-;-;614,27;-;-;115335,55
