 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2008/Jul";"2009/Jul";"2009/Set";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;-;-;-;-;579,49;3930,78;15578,83;6848,77;772,05;-;453,83;1043,11;-;3318,52;1218,90;16275,06;201,83;2366,25;185,83;8206,82;42996,64;8947,09;20382,49;3905,31;3321,68;2941,32;1443,17;576,22;10513,12;-;645,52;1509,20;955,61;1669,44;-;1563,05;516,22;11420,58;873,42;1181,94;5795,29;30708,49;1764,27;22873,89;1624,78;2395,61;4057,29;1141,48;15614,61;1497,11;736,03;34965,97;9893,33;9049,49;3706,28;24489,67;6729,62;23343,39;4101,41;12998,35;24963,02;30480,65;14196,30;185,83;3007,19;-;1214,48;-;1302,06;2745,01;9249,54;14884,78;185,83;-;185,83;-;651,03;24526,43;7395,07;6971,06;480,87;185,83;10998,04;7458,61;6498,31;478,85;5963,73;859,45;3292,61;20577,89;1739,63;291,68;1929,09;5514,41;1584,05;24825,77;41318,97;4778,12;8438,52;682,70;29620,63;6244,93;7805,53;23676,13;8256,50;27199,44;34893,35;19572,75;841138,95
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3629,53;11672,23;-;-;1588,39;-;-;-;-;-;-;-;2682,63;-;-;-;-;-;-;1775,39;-;-;-;6716,15;20156,15;-;-;-;-;-;-;3887,51;-;-;-;799,21;-;-;1084,51;14006,51;3045,26;-;13901,39;-;-;8215,42;-;4399,67;-;-;958,54;2364,52;-;1027,10;4005,66;465,11;-;-;-;-;-;757,30;-;1540,32;-;-;-;730,82;-;-;1471,81;-;-;957,80;-;-;-;11454,01;-;6719,45;-;-;3645,77;-;-;-;13012,19;2576,32;-;-;-;-;1164,08;-;-;-;-;-;-;-;150410,75
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;544,40;1921,16;2473,96;24089,26;1065,81;651,03;2450,90;1115,90;1786,52;895,69;10036,32;1798,49;17909,51;6061,24;667,03;26830,03;27190,96;19168,03;18111,59;21814,66;19126,58;11308,86;13573,31;11815,49;8974,59;28322,71;12555,08;23511,22;9391,40;7052,16;110,44;3868,02;3376,38;3693,01;-;28721,58;3832,81;654,08;2864,84;33627,54;9746,23;15561,65;2557,85;3034,95;12993,09;1991,56;6182,02;4830,01;4185,23;1614,15;-;17567,98;702,16;10544,09;6011,92;22829,57;29550,53;80,67;6585,13;4398,75;9772,23;14842,70;1062,08;-;638,54;3371,10;695,75;1776,10;674,97;-;3925,61;8409,05;3732,18;18296,23;5095,96;13522,45;4939,47;2484,15;12025,31;13884,07;-;2729,70;16557,92;34701,54;7457,58;25393,11;2131,52;5129,59;12279,56;1610,62;883,59;1723,55;2084,81;1238,19;15126,41;19161,67;10254,77;2241,06;10181,20;1692,16;735,28;13475,56;2719,58;9787,86;-;892374,91
"350040 Águas da Prata";-;-;-;-;-;-;-;-;-;-;-;-;6765,11;6431,00;5541,79;-;7961,25;-;-;9528,57;-;1681,37;-;-;4742,49;-;1628,14;-;1639,95;-;-;5676,62;1450,41;8440,31;-;-;902,92;-;711,26;1530,75;494,11;-;-;14467,55;-;-;-;504,87;-;-;-;496,87;-;-;163,10;-;15379,82;1550,71;2152,51;678,26;947,72;-;-;480,87;-;-;-;27642,73;1810,96;-;7467,42;693,83;-;-;-;518,60;-;-;5831,50;956,83;-;-;-;39048,85;-;488,87;669,92;1474,69;1413,79;4033,71;-;22550,63;1668,10;-;7643,74;-;-;832,42;-;-;-;142,02;-;1853,35;-;1254,10;2350,17;488,87;17441,89;-;-;-;4420,29;-;187,10;-;254832,71
"350050 Águas de Lindóia";-;-;-;-;-;-;-;-;-;-;-;1452,00;2157,64;56596,10;248,34;-;2289,86;6009,05;1105,00;1817,50;1784,92;18803,32;2518,72;2804,03;-;238,44;424,27;193,83;4795,40;15921,66;1670,94;959,87;2400,85;21967,86;3767,20;8934,66;12196,84;879,33;7628,11;7356,01;-;39831,15;2097,73;635,03;8128,14;1761,03;1147,90;1281,53;860,86;1635,65;4003,80;10149,58;7556,51;651,03;11129,56;1484,97;-;55,27;1244,21;710,86;-;721,30;721,30;4864,28;1235,86;448,87;-;-;463,88;563,33;581,71;2335,85;-;734,05;946,35;661,76;10226,92;195,10;6625,96;1593,74;8193,57;1142,56;-;6891,10;1717,41;7864,72;-;238,05;17498,09;29508,33;12890,71;24941,94;1069,61;-;3383,51;12411,00;4423,45;-;22114,64;4325,39;4400,16;12443,82;5979,20;185,83;5384,39;17701,93;998,13;5427,99;8919,92;4383,67;472,28;-;18666,43;40443,36;14995,36;55,27;613278,64
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;185,83;-;-;-;-;-;-;1251,71;163,10;-;-;25129,96;-;24333,34;-;-;-;-;-;-;3126,90;-;-;201,83;-;-;-;-;615,76;2956,17;1688,96;1158,06;206,50;-;188,93;-;-;-;721,30;-;-;15364,92;229,89;-;10684,54;-;10272,88;185,83;-;99,19;1278,06;4260,97;722,13;1588,45;635,03;-;185,83;-;-;-;-;185,83;-;-;2482,80;-;1528,81;185,83;693,90;-;-;-;-;-;-;-;-;-;8169,15;687,80;-;-;12132,89;-;-;-;-;-;-;-;-;-;238,44;2133,67;480,87;1306,24;-;-;2133,58;-;-;-;139795,88
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;-;-;-;2123,70;-;-;-;-;-;-;-;-;-;-;-;1081,25;-;-;-;1032,64;-;47,27;-;-;-;-;-;-;-;-;772,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;905,45;-;-;-;6968,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;630,54;-;-;-;-;-;-;-;1029,44;-;937,91;-;-;-;-;-;-;-;-;-;-;4565,83;-;-;-;-;-;44,22;-;-;-;-;-;238,44;-;20377,84
"350070 Agudos";-;-;-;-;-;-;-;-;-;-;-;-;23343,48;2301,05;1099,85;17745,37;12936,36;12543,98;-;788,28;5788,93;9633,13;4302,40;185,83;-;906,93;-;431,88;1027,96;15646,65;17894,08;-;480,87;2286,07;4288,85;565,08;10487,62;7865,00;492,22;6573,39;1876,20;4125,87;318,03;1963,57;544,29;1261,70;1524,17;9145,86;6353,86;1070,79;30207,70;20505,68;544,14;1786,31;3136,06;9649,72;1275,09;3198,63;4049,46;4377,20;909,23;-;407,88;11030,27;3324,38;14167,83;6660,38;9115,09;1190,01;5347,26;3926,20;8552,34;4109,10;5836,68;533,09;9342,64;21697,23;22971,38;2137,16;1933,34;3119,80;21012,98;24518,63;7537,72;17950,98;5636,85;278,54;13967,05;7609,21;8788,84;3535,52;17769,38;8887,77;-;24280,11;3010,11;2379,81;18739,31;3891,67;20529,99;22702,12;2015,43;3215,18;7705,21;1166,48;17289,02;866,45;27566,05;25371,11;6125,93;10457,47;3175,15;31963,21;19136,33;3940,32;5710,54;801571,35
"350075 Alambari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;469,20;-;-;-;-;-;565,87;-;504,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6259,93;1606,82;-;-;581,08;-;-;6061,82;-;-;-;-;-;-;-;-;-;-;-;-;6479,92;-;-;-;-;-;-;6981,58;-;-;-;55,27;-;-;-;504,87;-;-;407,88;-;-;-;-;-;9460,81;-;-;-;-;-;-;2186,64;-;-;-;-;-;573,87;21222,00;-;7723,44;-;-;-;-;-;-;-;-;488,87;-;72134,74
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;-;-;-;-;-;8605,79;-;-;-;-;-;4259,29;-;960,32;-;-;-;-;4294,47;595,20;-;-;-;9278,84;-;4141,65;-;5248,10;-;-;1641,94;-;80,24;-;-;-;-;536,81;-;-;905,76;-;-;-;227,22;-;1426,19;-;3370,48;544,87;-;1049,94;31255,30;-;1480,91;-;-;3059,96;-;-;-;10557,12;9883,32;-;-;-;-;1152,85;4195,34;2999,95;2285,66;-;-;2644,59;2392,70;-;-;-;-;1627,42;-;-;-;-;-;3824,75;1046,74;-;818,42;2676,99;1250,77;3945,24;-;-;-;1863,42;-;-;-;-;-;-;301,60;-;-;-;692,62;-;-;137122,78
